Player,Team,Salary
Emmanuel Sanders,DEN,6700
Odell Beckham,NYG,8500
John Brown,BAL,6500
Adam Thielen,MIN,8700
Jarvis Landry,CLE,6500
Tyrell Williams,LAC,5900
Sterling Shepard,NYG,6300
Alshon Jeffery,PHI,7600
Danny Amendola,MIA,5000
Tyreek Hill,KC,7800
T.Y. Hilton,IND,7300
Michael Thomas,NO,8600
Michael Gallup,DAL,4800
A.J. Green,CIN,8800
Devin Funchess,CAR,6400
Brandin Cooks,LAR,7500
Mike Evans,TB,7800
Marvin Hall,ATL,4500
Tajae Sharpe,TEN,4800
Julio Jones,ATL,8700
DeAndre Hopkins,HOU,8500
Mike Williams,LAC,5400
Julian Edelman,NE,7100
Josh Gordon,NE,6700
Larry Fitzgerald,ARI,5800
Donte Moncrief,JAX,5700
Robert Woods,LAR,7700
DeSean Jackson,TB,6700
Jarius Wright,CAR,4700
Allen Hurns,DAL,4900
Aldrick Robinson,MIN,4600
Will Fuller,HOU,6200
Keenan Allen,LAC,7900
Sammy Watkins,KC,6400
Chris Hogan,NE,5500
Courtland Sutton,DEN,4800
Michael Crabtree,BAL,6600
Cole Beasley,DAL,6200
Curtis Samuel,CAR,4700
Chris Godwin,TB,6400
Torrey Smith,CAR,4900
Kevin White,CHI,4500
Christian Kirk,ARI,5500
Kenny Stills,MIA,5500
Calvin Ridley,ATL,6400
Stefon Diggs,MIN,7600
Chester Rogers,IND,6000
Robby Anderson,NYJ,5400
Tre'Quan Smith,NO,5100
Adam Humphries,TB,4800
Josh Doctson,WAS,4600
Chad Williams,ARI,4500
Albert Wilson,MIA,5600
D.J. Chark,JAX,4600
Willie Snead,BAL,5400
Nelson Agholor,PHI,6000
Kenny Golladay,DET,7000
Anthony Miller,CHI,5400
Cody Core,CIN,4500
Cordarrelle Patterson,NE,4700
Marvin Jones,DET,6400
D.J. Moore,CAR,4900
Tyler Boyd,CIN,6800
Zay Jones,BUF,4700
Jakeem Grant,MIA,4600
Taylor Gabriel,CHI,5900
Damion Ratley,CLE,5100
Dede Westbrook,JAX,6000
Maurice Harris,WAS,4500
Marquise Goodwin,SF,5500
Justin Hardy,ATL,4600
Mohamed Sanu,ATL,5800
Andre Roberts,NYJ,4500
T.J. Jones,DET,4500
Keelan Cole,JAX,5500
Brandon Zylstra,MIN,4500
Chris Moore,BAL,4500
Laquon Treadwell,MIN,5000
Michael Floyd,WAS,4500
J.J. Nelson,ARI,4600
Corey Davis,TEN,6300
Josh Reynolds,LAR,5100
Demarcus Robinson,KC,4600
Antonio Callaway,CLE,4800
Deontay Burnett,NYJ,4500
Phillip Dorsett,NE,5300
Damiere Byrd,CAR,4500
Taywan Taylor,TEN,5000
Rashad Greene,JAX,4500
Chris Conley,KC,4500
Trent Taylor,SF,4500
Pierre Garcon,SF,5300
Allen Robinson,CHI,6500
Keke Coutee,HOU,5600
Cameron Batson,TEN,4500
Alex Erickson,CIN,4500
Marcus Kemp,KC,4500
Shelton Gibson,PHI,4500
DaeSean Hamilton,DEN,4500
Austin Carr,NO,4500
Kendrick Bourne,SF,4500
John Ross,CIN,5000
Jermaine Kearse,NYJ,5000
Darius Jennings,TEN,4500
Geremy Davis,LAC,4500
JoJo Natson,LAR,4500
Charone Peake,NYJ,4500
Cameron Meredith,NO,4900
KhaDarel Hodge,LAR,4800
Jehu Chesson,WAS,4500
Zach Pascal,IND,5100
Matthew Slater,NE,4500
Richie James,SF,4500
Jordan Matthews,PHI,5000
Josh Bellamy,CHI,4500
Tim Patrick,DEN,4500
