Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
J.J. Nelson,ARI,1.0,0.31,0.0,0.52,8.02,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
George Odum,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.0,0.0,0.01,0.02,0.02,WR,0.0
Zach Pascal,IND,1.0,1.79,0.0,3.35,38.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.17,0.0,0.48,6.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,1.96,0.0,1.14,10.52,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Charone Peake,NYJ,1.0,0.03,0.0,0.31,4.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Breshad Perriman,CLE,1.0,0.04,0.0,0.82,10.99,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cam Phillips,BUF,1.0,0.24,0.0,0.55,6.84,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brian Quick,FA,1.0,0.05,0.0,0.62,8.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.31,0.0,3.43,42.72,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,1.06,0.0,2.1,23.91,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,2.8,0.02,3.61,51.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.47,0.0,0.32,5.81,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.03,0.0,0.82,9.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.06,0.0,4.47,57.88,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.02,0.0,0.42,7.45,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,0.02,0.0,3.57,39.13,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Ross,CIN,1.0,1.21,0.01,2.7,32.7,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,0.44,0.0,0.64,9.67,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Emmanuel Sanders,DEN,1.0,2.14,0.02,5.04,62.44,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,0.64,0.0,4.1,58.1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.79,0.01,2.44,35.25,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.61,0.0,4.99,60.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
