Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS,POS
Andre Holmes DEN,1.6,22.5,0.1,0.0,0.0,0.0,0.0,2.9,WR
Chad Williams ARI,1.6,20.8,0.1,0.0,0.3,0.0,0.0,2.8,WR
Cordarrelle Patterson NE,1.5,17.2,0.1,0.7,4.3,0.0,0.0,2.8,WR
Trent Taylor SF,2.1,21.0,0.1,0.0,0.0,0.0,0.0,2.7,WR
Jordan Matthews PHI,1.5,20.1,0.1,0.0,0.0,0.0,0.0,2.7,WR
Chris Conley KC,1.7,20.1,0.1,0.0,0.0,0.0,0.1,2.6,WR
Deonte Thompson BUF,1.7,20.2,0.1,0.0,0.1,0.0,0.0,2.5,WR
Jarius Wright CAR,1.5,18.0,0.1,0.0,0.0,0.0,0.0,2.3,WR
Curtis Samuel CAR,1.1,14.0,0.1,0.3,2.1,0.0,0.0,2.2,WR
Kendrick Bourne SF,1.2,15.0,0.1,0.0,0.0,0.0,0.0,2.2,WR
Charone Peake NYJ,1.2,16.2,0.1,0.0,0.0,0.0,0.0,2.2,WR
Russell Shepard NYG,1.1,15.6,0.1,0.0,0.2,0.0,0.0,2.0,WR
D.J. Chark JAC,1.1,15.0,0.1,0.0,0.1,0.0,0.0,1.9,WR
Alex Erickson CIN,1.2,14.6,0.1,0.1,0.6,0.0,0.1,1.8,WR
Brice Butler MIA,1.0,13.7,0.1,0.0,0.0,0.0,0.0,1.8,WR
Andre Roberts NYJ,1.0,13.1,0.1,0.1,0.1,0.0,0.0,1.7,WR
Chris Moore BAL,0.9,11.3,0.1,0.2,1.0,0.0,0.0,1.7,WR
Austin Carr NO,1.2,14.6,0.0,0.0,0.0,0.0,0.0,1.7,WR
Aldrick Robinson MIN,0.9,11.0,0.1,0.0,0.0,0.0,0.0,1.7,WR
Breshad Perriman CLE,0.8,11.6,0.1,0.0,0.0,0.0,0.0,1.6,WR
Phillip Dorsett NE,0.9,12.6,0.0,0.0,0.0,0.0,0.0,1.5,WR
Jehu Chesson WAS,1.1,11.4,0.0,0.0,0.1,0.0,0.0,1.4,WR
Justin Hardy ATL,0.7,9.3,0.1,0.0,0.0,0.0,0.0,1.2,WR
Noah Brown DAL,0.8,9.6,0.0,0.0,0.0,0.0,0.0,1.2,WR
DaeSean Hamilton DEN,0.7,9.0,0.0,0.0,0.2,0.0,0.0,1.1,WR
Demarcus Robinson KC,0.6,8.0,0.1,0.0,0.0,0.0,0.0,1.1,WR
Darius Jennings TEN,0.7,9.1,0.0,0.0,0.0,0.0,0.0,1.1,WR
J.J. Nelson ARI,0.5,8.6,0.0,0.0,0.6,0.0,0.0,1.1,WR
Dontrelle Inman IND,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Geremy Davis LAC,0.6,7.6,0.0,0.0,0.1,0.0,0.0,1.0,WR
TJ Jones DET,0.7,8.9,0.0,0.0,0.0,0.0,0.0,1.0,WR
JoJo Natson LAR,0.5,6.7,0.0,0.0,0.3,0.0,0.0,1.0,WR
Victor Bolden Jr. BUF,0.6,8.8,0.0,0.0,0.0,0.0,0.0,1.0,WR
Josh Bellamy CHI,0.5,7.0,0.0,0.0,0.3,0.0,0.0,0.9,WR
Khadarel Hodge LAR,0.5,6.4,0.1,0.0,0.0,0.0,0.0,0.9,WR
Bennie Fowler NYG,0.5,5.9,0.1,0.0,0.0,0.0,0.0,0.9,WR
Richie James SF,0.7,8.8,0.0,0.0,0.0,0.0,0.0,0.9,WR
Michael Floyd WAS,0.6,7.0,0.0,0.0,0.0,0.0,0.0,0.9,WR
Hunter Sharp CIN,0.2,2.1,0.1,0.0,0.1,0.0,0.0,0.8,WR
Jawill Davis NYG,0.6,7.5,0.0,0.0,0.0,0.0,0.0,0.8,WR
Marcus Johnson IND,0.7,7.4,0.0,0.2,-0.4,0.0,0.0,0.7,WR
Travis Rudolph MIA,0.5,7.1,0.0,0.0,0.0,0.0,0.0,0.7,WR
Andy Jones DET,0.4,5.2,0.0,0.0,0.0,0.0,0.0,0.7,WR
Russell Gage ATL,0.4,5.1,0.0,0.0,0.1,0.0,0.0,0.7,WR
Justin Watson TB,0.3,4.1,0.0,0.0,0.1,0.0,0.0,0.5,WR
Marvin Hall ATL,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.5,WR
Jordan Taylor DEN,0.3,4.2,0.0,0.0,0.0,0.0,0.0,0.5,WR
Tim Patrick DEN,0.4,4.4,0.0,0.0,0.0,0.0,0.0,0.5,WR
Reggie Davis DAL,0.3,4.5,0.0,0.0,0.1,0.0,0.0,0.5,WR
Josh Malone CIN,0.3,4.2,0.0,0.1,0.4,0.0,0.0,0.5,WR
Cam Phillips BUF,0.4,4.5,0.0,0.0,0.0,0.0,0.0,0.5,WR
Marcus Kemp KC,0.3,3.1,0.0,0.0,0.0,0.0,0.0,0.4,WR
Shelton Gibson PHI,0.2,3.6,0.0,0.0,0.0,0.0,0.0,0.4,WR
Tim White NYJ,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.4,WR
Shane Wynn NO,0.2,3.6,0.0,0.1,0.2,0.0,0.0,0.4,WR
DeAndre Carter HOU,0.3,3.7,0.0,0.0,0.0,0.0,0.0,0.4,WR
Robert Foster BUF,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.3,WR
Javon Wims CHI,0.2,3.1,0.0,0.0,0.1,0.0,0.0,0.3,WR
Matt Slater NE,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.3,WR
Cam Batson TEN,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.3,WR
Rashad Greene JAC,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3,WR
Deontay Burnett NYJ,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3,WR
Brandon Zylstra MIN,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.3,WR
Tommylee Lewis NO,0.2,2.4,0.0,0.1,0.3,0.0,0.0,0.3,WR
Braxton Miller PHI,0.3,2.3,0.0,0.1,0.0,0.0,0.0,0.2,WR
Cody Core CIN,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.2,WR
Stacy Coley NYJ,0.1,1.7,0.0,0.0,0.1,0.0,0.0,0.2,WR
Brittan Golden NYG,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.2,WR
Kalif Raymond TEN,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.1,WR
Isaiah McKenzie BUF,0.1,1.0,0.0,0.0,0.1,0.0,0.0,0.1,WR
Trent Sherfield ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Krishawn Hogan IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jimmy Williams DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
