Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,0.0,0.68,6.16,0.05,TE
Mo Alie-Cox,IND,1.0,0.07,0.0,1.68,20.34,0.16,TE
Mark Andrews,BAL,1.0,0.03,0.0,2.51,28.87,0.19,TE
Dan Arnold,NO,1.0,0.02,0.0,0.87,10.63,0.08,TE
Antony Auclair,TB,1.0,0.03,0.0,0.2,2.19,0.02,TE
Blake Bell,JAX,1.0,0.03,0.0,0.76,7.39,0.06,TE
Nick Boyle,BAL,1.0,0.07,0.0,1.02,10.56,0.05,TE
Cameron Brate,TB,1.0,0.03,0.0,1.56,17.6,0.1,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.43,4.0,0.04,TE
Daniel Brown,CHI,1.0,0.04,0.0,0.27,3.59,0.03,TE
Trey Burton,CHI,1.0,0.57,0.0,3.61,48.89,0.33,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.65,5.06,0.04,TE
Tyler Conklin,MIN,1.0,0.02,0.0,0.32,2.0,0.03,TE
Jared Cook,OAK,1.0,0.07,0.0,3.64,41.51,0.29,TE
Alan Cross,TB,1.0,0.03,0.0,0.28,2.32,0.02,TE
Sean Culkin,LAC,1.0,0.05,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.07,1.13,0.02,TE
Vernon Davis,WAS,1.0,0.1,0.0,1.48,20.78,0.11,TE
Ed Dickson,SEA,1.0,0.03,0.0,1.09,13.86,0.1,TE
Jack Doyle,IND,1.0,0.06,0.0,4.86,47.27,0.3,TE
Eric Ebron,IND,1.0,1.63,0.0,2.33,27.15,0.18,TE
Rhett Ellison,NYG,1.0,0.06,0.0,1.3,13.14,0.08,TE
Evan Engram,NYG,1.0,0.68,0.0,3.7,35.27,0.27,TE
Zach Ertz,PHI,1.0,0.07,0.0,7.35,83.48,0.53,TE
Gerald Everett,LA,1.0,0.03,0.0,2.01,23.25,0.15,TE
Anthony Firkser,TEN,1.0,0.03,0.0,0.45,4.25,0.04,TE
Jordan Franks,CIN,1.0,0.03,0.0,0.46,4.09,0.04,TE
Antonio Gates,LAC,1.0,0.02,0.0,1.7,18.39,0.12,TE
Rico Gathers,DAL,1.0,0.03,0.0,0.33,4.18,0.04,TE
Dallas Goedert,PHI,1.0,0.03,0.0,1.13,12.6,0.08,TE
Jimmy Graham,GB,1.0,0.06,0.0,3.39,45.59,0.29,TE
Virgil Green,LAC,1.0,0.1,0.0,1.74,19.36,0.11,TE
Jermaine Gresham,ARI,1.0,0.05,0.0,1.01,12.62,0.09,TE
Ryan Griffin,HOU,1.0,0.07,0.0,2.3,24.28,0.17,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.27,2.76,0.04,TE
Clark Harris,CIN,1.0,0.03,0.0,0.04,0.7,0.01,TE
Demetrius Harris,KC,1.0,0.02,0.0,0.77,7.59,0.07,TE
Jeff Heuerman,DEN,1.0,0.07,0.0,3.25,29.62,0.26,TE
Tyler Higbee,LA,1.0,0.07,0.0,1.52,17.84,0.12,TE
Josh Hill,NO,1.0,0.12,0.0,1.62,18.73,0.13,TE
Austin Hooper,ATL,1.0,0.1,0.0,4.03,40.36,0.28,TE
O.J. Howard,TB,1.0,0.12,0.0,2.96,44.96,0.35,TE
Hayden Hurst,BAL,1.0,1.12,0.01,1.28,16.24,0.11,TE
Jesse James,PIT,1.0,0.03,0.0,1.74,18.76,0.17,TE
Blake Jarwin,DAL,1.0,0.03,0.0,0.53,4.35,0.04,TE
Travis Kelce,KC,1.0,0.12,0.0,6.07,74.93,0.53,TE
Lance Kendricks,GB,1.0,0.05,0.0,1.74,18.95,0.12,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.47,4.18,0.04,TE
Matt LaCosse,DEN,1.0,0.03,0.0,1.34,14.4,0.1,TE
Matt Lengel,CIN,1.0,0.07,0.0,0.43,4.09,0.04,TE
Marcedes Lewis,GB,1.0,0.02,0.0,0.37,3.18,0.03,TE
Chris Manhertz,CAR,1.0,0.05,0.0,0.0,0.34,0.03,TE
Vance McDonald,PIT,1.0,0.15,0.0,4.04,45.48,0.28,TE
James O'Shaughnessy,JAX,1.0,0.05,0.0,2.84,27.01,0.18,TE
Greg Olsen,CAR,1.0,0.06,0.0,4.27,49.14,0.39,TE
Brian Parker,DEN,1.0,0.03,0.0,0.2,2.2,0.02,TE
Logan Paulsen,ATL,1.0,0.03,0.0,0.51,3.87,0.03,TE
John Phillips,ARI,1.0,0.03,0.0,0.21,3.41,0.03,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.07,0.51,0.02,TE
Jordan Reed,WAS,1.0,0.07,0.0,4.78,50.75,0.32,TE
Kyle Rudolph,MIN,1.0,0.04,0.0,3.81,37.82,0.2,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.26,2.83,0.03,TE
Dalton Schultz,DAL,1.0,0.04,0.0,0.65,7.23,0.05,TE
Ricky Seals-Jones,ARI,1.0,0.05,0.0,3.2,39.92,0.25,TE
Scott Simonson,NYG,1.0,0.02,0.0,0.18,2.71,0.03,TE
Jonnu Smith,TEN,1.0,0.06,0.0,1.96,20.8,0.18,TE
Lee Smith,OAK,1.0,0.05,0.0,0.3,2.55,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.41,3.09,0.03,TE
Luke Stocker,TEN,1.0,0.03,0.0,0.82,7.42,0.05,TE
Geoff Swaim,DAL,1.0,0.06,0.0,2.3,25.04,0.18,TE
Ian Thomas,CAR,1.0,0.03,0.0,0.29,3.12,0.03,TE
Jordan Thomas,HOU,1.0,0.06,0.0,1.25,13.31,0.11,TE
Levine Toilolo,DET,1.0,0.02,0.0,0.73,6.26,0.07,TE
C.J. Uzomah,CIN,1.0,0.05,0.0,2.77,29.71,0.2,TE
Nick Vannett,SEA,1.0,0.07,0.0,2.24,26.98,0.22,TE
Benjamin Watson,NO,1.0,0.02,0.0,2.4,26.88,0.19,TE
Luke Willson,DET,1.0,0.05,0.0,1.71,16.69,0.1,TE
