Player,FG,FGA,XPT,FPTS,POS
Stephen Gostkowski NE,31.1,37.0,49.4,142.6,K
Greg Zuerlein LAR,31.1,36.6,42.0,135.2,K
Chris Boswell PIT,29.6,35.0,42.5,131.3,K
Matt Bryant ATL,29.7,34.9,41.6,130.7,K
Justin Tucker BAL,31.5,36.5,35.8,130.2,K
Harrison Butker KC,30.3,36.2,38.4,129.1,K
Wil Lutz NO,27.6,33.0,45.6,128.4,K
Jake Elliott PHI,28.2,33.9,41.9,126.6,K
Robbie Gould SF,29.3,34.2,35.7,123.5,K
Matt Prater DET,28.2,33.6,38.2,122.8,K
Graham Gano CAR,28.5,33.4,36.4,121.8,K
Mason Crosby GB,26.1,31.8,43.3,121.5,K
Josh Lambo JAC,27.0,31.3,37.0,118.0,K
Adam Vinatieri IND,27.4,32.7,35.4,117.4,K
Ryan Succop TEN,26.5,32.1,36.4,115.9,K
Brett Maher DAL,24.8,30.1,37.5,111.8,K
Phil Dawson ARI,26.1,31.8,33.3,111.7,K
Sebastian Janikowski SEA,24.9,30.2,36.4,111.1,K
Ka'imi Fairbairn HOU,25.2,30.8,35.5,111.1,K
Dustin Hopkins WAS,24.7,30.6,36.5,110.7,K
Brandon McManus DEN,25.5,32.1,32.2,108.8,K
Chandler Catanzaro CAR,24.6,29.6,34.0,107.8,K
Mike Nugent OAK,23.6,29.2,36.1,107.0,K
Steven Hauschka BUF,25.1,29.3,29.5,104.7,K
Randy Bullock CIN,23.1,26.9,33.6,102.9,K
Daniel Carlson OAK,23.1,27.6,32.8,102.2,K
Jason Sanders MIA,23.1,27.4,32.9,102.0,K
Cody Parkey CHI,23.3,27.5,31.4,101.3,K
Aldrick Rosas NYG,22.7,29.0,32.6,100.7,K
Zane Gonzalez ARI,22.1,27.5,31.6,97.9,K
Eddy Pineiro OAK,20.0,25.0,32.0,92.0,K
Jason Myers NYJ,21.0,25.1,28.5,91.5,K
Dan Bailey MIN,9.3,11.0,16.9,45.0,K
Kai Forbath JAC,3.5,4.2,15.8,26.3,K
Cairo Santos TB,1.6,2.0,1.6,6.2,K
Giorgio Tavecchio ATL,0.0,0.0,0.0,0.0,K
