Player,Team,Salary
Deshaun Watson,HOU,7600
Cam Newton,CAR,8100
Derek Carr,OAK,6900
Patrick Mahomes,KC,9200
Jared Goff,LAR,8500
Carson Wentz,PHI,7400
Russell Wilson,SEA,7400
Andrew Luck,IND,8300
Mitchell Trubisky,CHI,7700
Kirk Cousins,MIN,8300
Josh Rosen,ARI,6400
Andy Dalton,CIN,7800
Blake Bortles,JAX,6500
Ryan Fitzpatrick,TB,6000
Matthew Stafford,DET,7300
Ben Roethlisberger,PIT,8400
Case Keenum,DEN,7000
Aaron Rodgers,GB,8600
Baker Mayfield,CLE,7200
Eli Manning,NYG,6700
Tom Brady,NE,8600
Jameis Winston,TB,7800
C.J. Beathard,SF,7300
Alex Smith,WAS,7200
Sam Darnold,NYJ,6700
Joe Flacco,BAL,7500
Brock Osweiler,MIA,6500
Derek Anderson,BUF,6200
Lamar Jackson,BAL,6200
Drew Brees,NO,8600
Taysom Hill,NO,6100
Taylor Heinicke,CAR,6000
Teddy Bridgewater,NO,6000
Joe Webb,HOU,6000
Joshua Dobbs,PIT,6000
Brandon Weeden,HOU,6000
Brian Hoyer,NE,6000
