Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Aaron Rodgers,QB,GB,335,3,0,20,0
Patrick Mahomes,QB,KC,320,3,0,10,0
Ben Roethlisberger,QB,PIT,310,3,1,5,0
Cam Newton,QB,CAR,240,1,1,35,1
Mitchell Trubisky,QB,CHI,265,2,0,40,0
Jameis Winston,QB,TB,300,2,0,15,0
Andrew Luck,QB,IND,280,2,2,15,0
Baker Mayfield,QB,CLE,270,2,1,20,0
Kirk Cousins,QB,MIN,285,2,1,10,0
Andy Dalton,QB,CIN,285,2,1,10,0
Jared Goff,QB,LAR,275,2,1,10,0
Carson Wentz,QB,PHI,275,2,1,10,0
Matthew Stafford,QB,DET,280,2,1,5,0
Tom Brady,QB,NE,280,2,0,0,0
Eli Manning,QB,NYG,265,2,1,5,0
Drew Brees,QB,NO,270,2,0,0,0
Russell Wilson,QB,SEA,240,2,0,15,0
Joe Flacco,QB,BAL,250,2,1,5,0
Deshaun Watson,QB,HOU,245,1,1,30,0
Alex Smith,QB,WAS,235,1,0,20,0
Blake Bortles,QB,JAX,210,1,1,30,0
Case Keenum,QB,DEN,260,1,1,5,0
C.J. Beathard,QB,SF,235,1,1,10,0
Derek Carr,QB,OAK,240,1,1,5,0
Brock Osweiler,QB,MIA,235,1,1,5,0
Josh Rosen,QB,ARI,225,1,1,10,0
Sam Darnold,QB,NYJ,210,1,1,5,0
Derek Anderson,QB,BUF,185,1,1,5,0
Lamar Jackson,QB,BAL,0,0,0,15,0
