Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Derek Anderson,BUF,1.0,39.0,22.0,17.0,290.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,QB
C.J. Beathard,SF,1.0,28.0,14.0,14.0,190.0,1.0,0.0,4.0,0.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Blake Bortles,JAX,1.0,41.0,24.0,17.0,286.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,QB
Tom Brady,NE,1.0,45.0,29.0,16.0,324.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,23.0,18.0,5.0,120.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,28.0,21.0,7.0,244.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,41.0,31.0,10.0,359.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Andy Dalton,CIN,1.0,34.0,21.0,13.0,280.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,29.0,14.0,15.0,153.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,QB
Joshua Dobbs,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
