Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Bengals, CIN",1.8,0.0,3.4,35.6,0.8,1.0,0.35,11.6,152.0,92.0,244,20,DST
"Steelers, PIT",1.9,0.0,3.3,37.9,0.7,1.0,0.36,12.3,140.0,98.0,238,20,DST
"Eagles, PHI",0.8,0.1,2.4,37.3,1.1,1.5,0.33,11.7,135.0,113.0,248,18,DST
"Ravens, BAL",1.2,0.0,2.6,39.7,1.0,1.3,0.34,13.9,145.0,109.0,254,17,DST
"Jaguars, JAC",1.4,0.1,3.1,41.7,1.2,1.6,0.34,15.0,183.0,96.0,279,16,DST
"Seahawks, SEA",1.1,0.0,3.1,37.3,1.1,1.6,0.29,14.7,183.0,96.0,279,15,DST
"Panthers, CAR",1.0,0.0,3.5,40.3,1.0,1.4,0.26,17.7,176.0,92.0,268,15,DST
"Vikings, MIN",0.7,0.0,3.1,39.0,0.8,1.1,0.26,19.5,210.0,73.0,283,13,DST
"Raiders, OAK",1.1,0.0,2.1,42.3,1.2,1.7,0.3,20.9,242.0,98.0,340,12,DST
"Texans, HOU",1.5,0.0,2.3,43.6,0.7,0.9,0.26,23.9,195.0,102.0,297,12,DST
"Patriots, NE",1.3,0.0,1.7,39.3,0.7,0.9,0.35,14.1,219.0,98.0,317,11,DST
"Titans, TEN",1.0,0.1,2.9,39.0,0.6,0.8,0.24,22.0,202.0,85.0,287,11,DST
"Falcons, ATL",1.1,0.0,2.0,40.7,0.8,1.1,0.28,17.7,234.0,91.0,325,11,DST
"Chiefs, KC",0.7,0.0,2.4,39.7,0.8,1.1,0.3,15.5,170.0,142.0,312,11,DST
"Cardinals, ARI",1.0,0.0,1.6,44.6,0.8,1.1,0.22,18.7,182.0,135.0,317,10,DST
"Cowboys, DAL",0.8,0.0,1.7,42.4,0.9,1.2,0.23,20.5,247.0,99.0,346,10,DST
"Redskins, WAS",0.8,0.0,2.0,41.8,0.7,1.0,0.22,18.6,224.0,98.0,322,10,DST
"Colts, IND",1.4,0.0,1.9,41.1,0.9,1.2,0.29,23.2,238.0,117.0,355,10,DST
"Broncos, DEN",0.8,0.0,1.9,39.4,0.7,1.0,0.22,26.1,197.0,87.0,284,10,DST
"Saints, NO",0.9,0.1,2.0,40.9,1.1,1.5,0.26,24.7,222.0,120.0,342,9,DST
"Jets, NYJ",1.1,0.0,1.9,43.5,0.8,1.2,0.26,21.2,223.0,108.0,331,9,DST
"Browns, CLE",0.9,0.0,2.4,41.1,0.9,1.2,0.19,22.9,222.0,86.0,308,9,DST
"Giants, NYG",0.9,0.0,1.5,42.5,1.1,1.6,0.24,21.3,271.0,88.0,359,8,DST
"Chargers, LAC",0.7,0.0,2.3,42.5,0.8,1.1,0.23,21.4,175.0,149.0,324,8,DST
"49ers, SF",1.0,0.1,2.2,43.7,0.5,0.7,0.18,23.5,267.0,106.0,373,8,DST
"Rams, LAR",0.8,0.0,1.6,47.6,0.8,1.1,0.26,22.5,251.0,120.0,371,8,DST
"Lions, DET",0.6,0.0,1.6,46.6,0.9,1.2,0.25,21.6,238.0,111.0,349,8,DST
"Bills, BUF",0.7,0.0,1.9,41.3,0.6,0.8,0.15,25.1,217.0,109.0,326,7,DST
"Bears, CHI",0.8,0.0,2.8,47.5,0.8,1.1,0.18,30.7,227.0,138.0,365,7,DST
"Buccaneers, TB",0.7,0.0,1.6,44.4,0.9,1.3,0.23,27.5,294.0,112.0,406,6,DST
"Packers, GB",1.0,0.0,1.6,47.1,0.6,0.9,0.19,29.0,289.0,106.0,395,5,DST
