Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,TB,W 34-20,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@KC,W 16-10,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@Phi,L 3-31,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Cle,W 30-16,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@Cin,L 16-30,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,LAC,L 6-28,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Oak,L 14-21,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Min,L 23-30,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Pit,L 28-31,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Ind,W 20-16,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Ten,L 16-20,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Buf,L 10-16,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,Den,W 21-14,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,NO,W 26-20,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@NE,L 17-35,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Det,W 30-23,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,Mia,W 35-17,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@LAR,L 20-26,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Wsh,L 10-20,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,Car,L 27-35,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,Chi,W 31-3,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,Jax,W 27-24,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,GB,W 31-28,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@Dal,W 28-6,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,Sea,L 13-24,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@SF,W 24-13,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@Atl,L 20-34,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,NYG,W 20-10,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@NYJ,W 35-27,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@Ari,L 24-27,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Hou,W 23-16,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@Bal,L 16-23,--,--,--,--,--,--,--,--,DST
