Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Jacksonville Jaguars,DST,JAX,8.0,0.8,0.5,2.9, ,0.2
Houston Texans,DST,HOU,7.9,0.8,0.5,3.1, ,0.2
Green Bay Packers,DST,GB,7.8,1.0,0.4,2.6, ,0.2
Philadelphia Eagles,DST,PHI,7.6,0.7,0.5,2.7, ,0.2
Los Angeles Rams,DST,LAR,7.4,1.2,0.5,2.3, ,0.2
Chicago Bears,DST,CHI,7.3,0.8,0.5,2.2, ,0.2
Carolina Panthers,DST,CAR,6.9,0.7,0.6,3.0, ,0.2
Baltimore Ravens,DST,BAL,6.8,1.0,0.5,2.2, ,0.2
Miami Dolphins,DST,MIA,6.8,0.9,0.4,2.5, ,0.2
Buffalo Bills,DST,BUF,6.6,1.0,0.7,2.6, ,0.2
New York Jets,DST,NYJ,6.6,0.9,0.6,1.9, ,0.2
Washington Redskins,DST,WAS,6.3,0.8,0.5,2.2, ,0.2
Indianapolis Colts,DST,IND,6.2,1.0,0.4,2.1, ,0.2
Pittsburgh Steelers,DST,PIT,6.1,1.0,0.5,2.6, ,0.2
Atlanta Falcons,DST,ATL,6.1,1.1,0.5,2.5, ,0.2
Seattle Seahawks,DST,SEA,6.0,1.2,0.5,2.0, ,0.2
Dallas Cowboys,DST,DAL,5.9,0.9,0.6,2.5, ,0.2
Cincinnati Bengals,DST,CIN,5.7,1.0,0.4,2.3, ,0.2
Arizona Cardinals,DST,ARI,5.6,0.7,0.7,2.4, ,0.2
Minnesota Vikings,DST,MIN,5.6,0.6,0.4,1.6, ,0.1
Oakland Raiders,DST,OAK,5.5,0.5,0.5,2.4, ,0.1
Tennessee Titans,DST,TEN,5.1,0.7,0.6,2.3, ,0.2
Cleveland Browns,DST,CLE,5.1,0.7,0.6,2.1, ,0.2
Los Angeles Chargers,DST,LAC,4.9,0.8,0.4,2.4, ,0.1
New York Giants,DST,NYG,4.7,0.7,0.5,2.1, ,0.2
Kansas City Chiefs,DST,KC,4.3,1.0,0.5,1.8, ,0.2
New England Patriots,DST,NE,4.1,0.7,0.4,1.6, ,0.2
Tampa Bay Buccaneers,DST,TB,3.7,0.6,0.5,2.3, ,0.2
San Francisco 49ers,DST,SF,3.2,0.2,0.4,2.0, ,0.1
Denver Broncos,DST,DEN,2.5,0.7,0.5,2.0, ,0.2
Detroit Lions,DST,DET,,,,, ,
New Orleans Saints,DST,NO,,,,, ,
