Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Houston Texans,DST,HOU,15.3,272.0,1.0,0.7,3.5,0.1,0.0,0.2
Jacksonville Jaguars,DST,JAX,18.8,326.0,1.0,0.6,3.0,0.1,0.0,0.30000000000000004
Green Bay Packers,DST,GB,18.5,368.0,1.0,0.7,3.2,0.0,0.0,0.2
Minnesota Vikings,DST,MIN,16.5,281.0,0.9,0.6,2.9,0.1,0.0,0.30000000000000004
Chicago Bears,DST,CHI,17.5,288.0,0.8,0.6,2.9,0.0,0.1,0.30000000000000004
Seattle Seahawks,DST,SEA,23.3,360.0,0.8,0.6,2.5,0.1,0.1,0.2
Philadelphia Eagles,DST,PHI,21.5,350.0,0.9,0.6,2.6,0.1,0.1,0.2
Baltimore Ravens,DST,BAL,21.5,308.0,1.0,0.7,3.1,0.1,0.0,0.1
Tennessee Titans,DST,TEN,21.5,362.0,0.8,0.6,2.5,0.0,0.1,0.30000000000000004
Dallas Cowboys,DST,DAL,20.8,330.0,1.0,0.7,3.2,0.0,0.0,0.0
New York Jets,DST,NYJ,22.5,364.0,1.0,0.6,2.6,0.0,0.0,0.1
Los Angeles Chargers,DST,LAC,22.0,348.0,0.8,0.5,2.5,0.0,0.0,0.2
Los Angeles Rams,DST,LAR,21.5,332.0,0.9,0.5,2.6,0.1,0.0,0.30000000000000004
Washington Redskins,DST,WAS,22.3,368.0,0.7,0.5,2.4,0.0,0.0,0.2
New York Giants,DST,NYG,23.0,369.0,0.7,0.4,2.0,0.0,0.1,0.30000000000000004
Cleveland Browns,DST,CLE,25.0,409.0,0.7,0.5,2.3,0.0,0.0,0.2
Buffalo Bills,DST,BUF,25.3,386.0,0.7,0.4,2.2,0.0,0.0,0.2
Cincinnati Bengals,DST,CIN,26.3,391.0,0.7,0.5,2.2,0.0,0.1,0.2
Pittsburgh Steelers,DST,PIT,23.3,375.0,0.7,0.4,2.2,0.1,0.1,0.2
Carolina Panthers,DST,CAR,22.3,354.0,0.9,0.5,2.7,0.0,0.1,0.1
Atlanta Falcons,DST,ATL,27.0,407.0,0.7,0.5,2.3,0.0,0.0,0.1
Miami Dolphins,DST,MIA,23.0,361.0,0.7,0.5,2.0,0.0,0.0,0.2
Arizona Cardinals,DST,ARI,26.5,377.0,0.6,0.4,1.9,0.1,0.0,0.2
Indianapolis Colts,DST,IND,25.0,375.0,0.8,0.6,2.6,0.0,0.0,0.1
New England Patriots,DST,NE,28.0,434.0,0.7,0.5,2.4,0.1,0.1,0.1
Oakland Raiders,DST,OAK,24.8,372.0,0.7,0.6,2.4,0.1,0.0,0.1
Tampa Bay Buccaneers,DST,TB,30.0,426.0,0.6,0.5,2.1,0.0,0.1,0.2
Denver Broncos,DST,DEN,28.5,414.0,0.5,0.4,1.9,0.0,0.0,0.2
San Francisco 49ers,DST,SF,27.5,363.0,0.6,0.4,1.9,0.0,0.0,0.1
Kansas City Chiefs,DST,KC,31.5,454.0,0.6,0.4,1.9,0.0,0.0,0.1
New Orleans Saints,DST,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detroit Lions,DST,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
