Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,358.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,375.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,113.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,311.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,301.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,273.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,296.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,90.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,360.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,37.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,353.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,155.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,464.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,369.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,505.0,0.0,0.0,0.0,0.0,1.0,DST
Miami Dolphins,MIA,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,140.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,475.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,387.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,332.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,7.0,0.0,3.0,3.0,0.0,1.0,0.0,93.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,343.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,304.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,377.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,306.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,292.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,366.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,32.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,80.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,358.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,171.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,555.0,0.0,0.0,0.0,0.0,1.0,DST
Baltimore Ravens,BAL,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,112.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,325.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,353.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,247.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,15.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,338.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,310.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,302.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,411.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,1.0,0.0,0.0,0.0,DST
