Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS
Chris Ivory,BUF,1.0,25.37,0.14,1.09,9.75,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Justin Jackson,LAC,1.0,47.48,0.4,0.88,7.54,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Andy Janovich,DEN,1.0,0.02,0.0,0.75,6.05,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Johnson,ARI,1.0,75.91,0.51,2.99,34.14,0.18,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Duke Johnson,CLE,1.0,7.37,0.05,3.05,29.1,0.19,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Aaron Jones,GB,1.0,81.13,0.69,3.28,27.52,0.14,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ronald Jones,TB,1.0,13.83,0.1,0.89,6.67,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kyle Juszczyk,SF,1.0,0.78,0.03,2.47,22.69,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alvin Kamara,NO,1.0,53.77,0.59,5.01,40.67,0.3,0.29,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dion Lewis,TEN,1.0,41.36,0.23,2.99,24.54,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Phillip Lindsay,DEN,1.0,73.91,0.57,2.5,23.03,0.11,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Line,NO,1.0,1.46,0.01,0.53,2.43,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
T.J. Logan,ARI,1.0,3.17,0.02,0.27,2.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marlon Mack,IND,1.0,55.75,0.39,1.96,14.09,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,1.0,57.74,0.4,1.84,16.51,0.07,0.0,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christian McCaffrey,CAR,1.0,84.21,0.61,5.9,56.44,0.41,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,1.0,65.82,0.38,2.53,21.32,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijah McGuire,NYJ,1.0,28.68,0.15,1.82,16.33,0.07,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Sony Michel,NE,1.0,60.06,0.52,0.97,6.94,0.04,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,1.0,66.19,0.33,1.68,15.48,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Mixon,CIN,1.0,63.07,0.45,3.04,25.22,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taquan Mizzell,CHI,1.0,9.17,0.06,0.95,7.39,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ty Montgomery,BAL,1.0,20.63,0.16,3.42,25.69,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marcus Murphy,BUF,1.0,10.69,0.08,0.48,4.16,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,1.0,24.78,0.2,1.05,6.92,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Detrez Newsome,LAC,1.0,7.35,0.06,0.34,3.07,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roosevelt Nix,PIT,1.0,0.0,0.0,0.32,1.59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,1.0,0.0,0.01,0.23,1.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijhaa Penny,NYG,1.0,0.0,0.0,0.67,5.87,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rashaad Penny,SEA,1.0,32.06,0.22,0.47,3.77,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Senorise Perry,MIA,1.0,3.45,0.03,0.45,4.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Adrian Peterson,WAS,1.0,58.8,0.39,0.97,8.43,0.03,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jalen Richard,OAK,1.0,23.44,0.15,3.69,31.6,0.18,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Theo Riddick,DET,1.0,18.79,0.13,4.91,37.88,0.19,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Stevan Ridley,PIT,1.0,33.63,0.18,1.12,9.02,0.08,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jacquizz Rodgers,TB,1.0,6.96,0.04,1.83,17.46,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jaylen Samuels,PIT,1.0,54.88,0.39,2.59,21.79,0.14,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Anthony Sherman,KC,1.0,0.79,0.01,0.4,3.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wendell Smallwood,PHI,1.0,3.77,0.02,0.3,1.61,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ito Smith,ATL,1.0,26.65,0.18,1.69,12.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Keith Smith,OAK,1.0,0.0,0.01,0.26,1.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rod Smith,DAL,1.0,8.25,0.08,0.52,4.82,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Darren Sproles,PHI,1.0,8.4,0.05,1.13,9.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Thompson,WAS,1.0,19.35,0.1,3.71,30.36,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Danny Vitale,GB,1.0,0.14,0.01,0.21,1.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Walton,CIN,1.0,6.22,0.05,0.26,1.5,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Spencer Ware,KC,1.0,55.13,0.43,1.39,15.27,0.07,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
DeAndre Washington,OAK,1.0,14.22,0.11,0.66,4.64,0.03,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dwayne Washington,NO,1.0,5.39,0.03,0.26,1.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derek Watt,LAC,1.0,0.47,0.01,0.19,0.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,1.0,22.77,0.19,5.75,46.9,0.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Wilkins,IND,1.0,5.85,0.04,0.52,3.3,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,1.0,8.69,0.04,0.7,6.26,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamaal Williams,GB,1.0,20.54,0.12,1.27,10.93,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.14,0.01,0.02,0.02,0.02,0.07,RB
Jeff Wilson,SF,1.0,68.97,0.47,3.24,29.26,0.15,0.0,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
T.J. Yeldon,JAX,1.0,15.83,0.08,2.82,22.93,0.11,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Zenner,DET,1.0,9.24,0.07,0.81,6.64,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
