Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Ezekiel Elliott,RB,DAL,110,1,4,35,0
Christian McCaffrey,RB,CAR,75,1,7,60,0
Saquon Barkley,RB,NYG,80,1,6,50,0
Todd Gurley,RB,LAR,90,1,4,35,0
Nick Chubb,RB,CLE,95,1,4,25,0
Phillip Lindsay,RB,DEN,100,1,2,20,0
Alvin Kamara,RB,NO,60,0,6,50,1
Leonard Fournette,RB,JAX,80,1,3,25,0
Gus Edwards,RB,BAL,90,1,1,10,0
Aaron Jones,RB,GB,75,1,3,25,0
Jeff Wilson,RB,SF,65,1,5,35,0
Dalvin Cook,RB,MIN,70,1,4,25,0
Lamar Miller,RB,HOU,80,1,2,15,0
Joe Mixon,RB,CIN,70,1,3,25,0
Tarik Cohen,RB,CHI,25,0,7,60,1
Sony Michel,RB,NE,75,1,1,5,0
Chris Carson,RB,SEA,65,1,1,10,0
Adrian Peterson,RB,WAS,65,1,1,10,0
Mark Ingram,RB,NO,45,1,3,25,0
Justin Jackson,RB,LAC,60,1,1,10,0
James White,RB,NE,25,0,6,45,1
Josh Adams,RB,PHI,65,1,0,0,0
Stevan Ridley,RB,PIT,40,1,1,5,0
David Johnson,RB,ARI,65,0,4,30,0
Austin Ekeler,RB,LAC,40,0,6,45,0
LeSean McCoy,RB,BUF,60,0,2,20,0
Spencer Ware,RB,KC,55,0,3,25,0
Isaiah Crowell,RB,NYJ,60,0,2,15,0
Jaylen Samuels,RB,PIT,45,0,4,30,0
Doug Martin,RB,OAK,60,0,2,10,0
Jalen Richard,RB,OAK,35,0,5,35,0
Peyton Barber,RB,TB,55,0,1,10,0
Kenyan Drake,RB,MIA,35,0,4,30,0
Dion Lewis,RB,TEN,40,0,4,25,0
Marlon Mack,RB,IND,55,0,1,10,0
Tevin Coleman,RB,ATL,45,0,2,15,0
Frank Gore,RB,MIA,45,0,1,10,0
Nyheim Hines,RB,IND,25,0,4,30,0
Jordan Howard,RB,CHI,40,0,1,10,0
Elijah McGuire,RB,NYJ,35,0,2,15,0
Ty Montgomery,RB,BAL,15,0,4,35,0
T.J. Yeldon,RB,JAX,20,0,4,30,0
LeGarrette Blount,RB,DET,45,0,0,0,0
Corey Clement,RB,PHI,25,0,2,20,0
Giovani Bernard,RB,CIN,15,0,3,25,0
Royce Freeman,RB,DEN,35,0,1,5,0
Derrick Henry,RB,TEN,35,0,1,5,0
Duke Johnson,RB,CLE,15,0,3,25,0
Theo Riddick,RB,DET,10,0,4,30,0
Jacquizz Rodgers,RB,TB,15,0,3,25,0
Ito Smith,RB,ATL,25,0,2,15,0
Chris Thompson,RB,WAS,15,0,3,25,0
Alfred Blue,RB,HOU,20,0,1,10,0
Rex Burkhead,RB,NE,20,0,1,10,0
Latavius Murray,RB,MIN,30,0,0,0,0
Damien Williams,RB,KC,25,0,1,5,0
Mike Davis,RB,SEA,15,0,1,10,0
Rashaad Penny,RB,SEA,25,0,0,0,0
Darren Sproles,RB,PHI,15,0,1,10,0
Jamaal Williams,RB,GB,20,0,1,5,0
Kenneth Dixon,RB,BAL,20,0,0,0,0
Chase Edmonds,RB,ARI,15,0,1,5,0
Chris Ivory,RB,BUF,10,0,1,10,0
DeAndre Washington,RB,OAK,15,0,1,5,0
Devontae Booker,RB,DEN,5,0,1,10,0
Carlos Hyde,RB,JAX,10,0,0,0,0
Kyle Juszczyk,RB,SF,0,0,1,10,0
Rod Smith,RB,DAL,5,0,0,0,0
