Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Chris Boswell,PIT,1.0,3.2,0.09,0.59,0.58,0.45,0.15,K
Matt Bryant,ATL,1.0,2.48,0.04,0.55,0.46,0.36,0.31,K
Randy Bullock,CIN,1.0,2.58,0.07,0.56,0.51,0.48,0.13,K
Harrison Butker,KC,1.0,2.06,0.07,0.59,0.52,0.44,0.13,K
Daniel Carlson,OAK,1.0,3.08,0.09,0.62,0.55,0.43,0.15,K
Chandler Catanzaro,CAR,1.0,2.15,0.06,0.53,0.49,0.52,0.17,K
Mason Crosby,GB,1.0,2.75,0.08,0.51,0.64,0.45,0.19,K
Phil Dawson,ARI,1.0,2.43,0.12,0.53,0.63,0.51,0.15,K
Jake Elliott,PHI,1.0,2.64,0.06,0.58,0.58,0.46,0.3,K
Ka'imi Fairbairn,HOU,1.0,1.66,0.07,0.53,0.42,0.44,0.18,K
Graham Gano,CAR,1.0,2.18,0.09,0.59,0.49,0.45,0.11,K
Zane Gonzalez,ARI,1.0,2.04,0.12,0.48,0.55,0.43,0.13,K
Stephen Gostkowski,NE,1.0,3.26,0.13,0.62,0.51,0.39,0.18,K
Robbie Gould,SF,1.0,1.83,0.06,0.42,0.51,0.4,0.25,K
Stephen Hauschka,BUF,1.0,1.19,0.07,0.52,0.45,0.46,0.19,K
Dustin Hopkins,WAS,1.0,2.55,0.16,0.55,0.54,0.47,0.26,K
Sebastian Janikowski,SEA,1.0,2.04,0.07,0.54,0.53,0.5,0.18,K
Josh Lambo,JAX,1.0,2.47,0.06,0.62,0.53,0.48,0.29,K
Wil Lutz,NO,1.0,3.22,0.08,0.62,0.49,0.41,0.25,K
Brett Maher,DAL,1.0,1.97,0.1,0.49,0.48,0.46,0.25,K
Brandon McManus,DEN,1.0,2.14,0.06,0.5,0.48,0.44,0.25,K
Jason Myers,NYJ,1.0,1.96,0.07,0.49,0.5,0.53,0.24,K
Mike Nugent,OAK,1.0,2.34,0.06,0.5,0.5,0.42,0.18,K
Cody Parkey,CHI,1.0,2.1,0.07,0.5,0.47,0.45,0.13,K
Matt Prater,DET,1.0,2.68,0.07,0.55,0.55,0.52,0.19,K
Aldrick Rosas,NYG,1.0,1.65,0.04,0.41,0.47,0.42,0.14,K
Jason Sanders,MIA,1.0,2.51,0.08,0.55,0.59,0.52,0.2,K
Caleb Sturgis,,1.0,2.6,0.13,0.56,0.52,0.4,0.15,K
Ryan Succop,TEN,1.0,2.52,0.07,0.51,0.49,0.52,0.2,K
Justin Tucker,BAL,1.0,2.09,0.04,0.45,0.55,0.5,0.23,K
Adam Vinatieri,IND,1.0,2.46,0.08,0.47,0.51,0.49,0.17,K
Greg Zuerlein,LA,1.0,2.81,0.04,0.53,0.52,0.43,0.26,K
