Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Wil Lutz,NO,TB,3,0,3,0,12.0,K
Caleb Sturgis,LAC,KC,3,0,3,0,12.0,K
Justin Tucker,BAL,BUF,3,0,3,0,12.0,K
Jake Elliott,PHI,ATL,3,0,2,0,11.0,K
Randy Bullock,CIN,@IND,2,0,3,0,9.0,K
Chandler Catanzaro,TB,@NO,2,0,3,0,9.0,K
Stephen Gostkowski,NE,HOU,2,0,3,0,9.0,K
Brandon McManus,DEN,SEA,2,0,3,0,9.0,K
Matt Prater,DET,NYJ,2,0,3,0,9.0,K
Greg Zuerlein,LAR,@OAK,2,0,3,0,9.0,K
Matt Bryant,ATL,@PHI,2,0,2,0,8.0,K
Daniel Carlson,MIN,SF,2,0,2,0,8.0,K
Ka'imi Fairbairn,HOU,@NE,2,0,2,0,8.0,K
Robbie Gould,SF,@MIN,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,@DEN,2,0,2,0,8.0,K
Brett Maher,DAL,@CAR,2,0,2,0,8.0,K
Cody Parkey,CHI,@GB,2,0,2,0,8.0,K
Ryan Succop,TEN,@MIA,2,0,2,0,8.0,K
Adam Vinatieri,IND,CIN,2,0,2,0,8.0,K
Steve Hauschka,BUF,@BAL,2,0,1,0,7.0,K
Chris Boswell,PIT,@CLE,1,0,3,0,6.0,K
Harrison Butker,KC,@LAC,1,0,3,0,6.0,K
Mason Crosby,GB,CHI,1,0,3,0,6.0,K
Phil Dawson,ARI,WAS,1,0,3,0,6.0,K
Graham Gano,CAR,DAL,1,0,3,0,6.0,K
Josh Lambo,JAC,@NYG,1,0,3,0,6.0,K
Jason Sanders,MIA,TEN,1,0,3,0,6.0,K
Zane Gonzalez,CLE,PIT,1,0,2,0,5.0,K
Dustin Hopkins,WAS,@ARI,1,0,2,0,5.0,K
Jason Myers,NYJ,@DET,0,0,3,0,3.0,K
Aldrick Rosas,NYG,JAC,0,0,3,0,3.0,K
Mike Nugent,OAK,LAR,0,0,2,0,2.0,K
