Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Panthers, CAR",1.2,0.0,2.4,39.3,0.8,1.1,0.21,19.9,197.0,89.0,286,13,DST
"Vikings, MIN",0.9,0.1,3.1,39.1,0.7,1.0,0.14,16.1,204.0,88.0,292,13,DST
"Broncos, DEN",0.9,0.1,2.5,40.2,0.9,1.3,0.06,20.3,193.0,95.0,288,12,DST
"Chiefs, KC",1.7,0.0,3.0,36.2,0.8,1.1,0.1,15.1,212.0,93.0,305,12,DST
"Eagles, PHI",0.9,0.0,2.3,39.2,1.2,1.6,0.29,18.8,237.0,89.0,326,12,DST
"Seahawks, SEA",0.5,0.0,2.8,38.0,0.5,0.7,0.17,15.8,145.0,115.0,260,11,DST
"Jets, NYJ",0.9,0.0,2.9,37.9,0.6,0.9,0.08,19.9,227.0,90.0,317,10,DST
"Titans, TEN",1.2,0.0,3.2,42.4,0.9,1.2,0.16,26.0,262.0,85.0,347,10,DST
"Rams, LAR",1.1,0.0,2.1,45.0,1.2,1.6,0.27,22.0,215.0,131.0,346,10,DST
"Dolphins, MIA",1.2,0.0,2.2,42.2,0.6,0.8,0.07,18.4,229.0,119.0,348,10,DST
"Chargers, LAC",1.0,0.0,2.0,40.5,0.9,1.3,0.07,20.9,206.0,132.0,338,10,DST
"Cowboys, DAL",0.4,0.0,2.6,42.0,0.9,1.3,0.1,17.9,246.0,102.0,348,9,DST
"Packers, GB",1.2,0.0,3.2,38.1,0.5,0.7,0.16,22.9,237.0,98.0,335,9,DST
"Lions, DET",0.6,0.1,3.0,43.2,0.7,0.9,0.21,22.4,198.0,103.0,301,9,DST
"Jaguars, JAC",0.5,0.0,2.4,42.5,0.8,1.1,0.33,26.3,195.0,107.0,302,8,DST
"Bills, BUF",1.0,0.0,2.9,43.9,0.7,0.9,0.1,21.7,242.0,134.0,376,8,DST
"Raiders, OAK",0.8,0.0,1.8,43.0,0.9,1.2,0.26,24.4,242.0,114.0,356,8,DST
"Falcons, ATL",1.1,0.0,1.8,43.9,0.7,0.9,0.14,22.8,242.0,111.0,353,8,DST
"Ravens, BAL",0.9,0.0,2.4,43.0,0.7,0.9,0.07,22.2,252.0,97.0,349,8,DST
"Giants, NYG",0.7,0.0,1.9,44.8,0.8,1.1,0.16,23.9,218.0,121.0,339,7,DST
"Saints, NO",0.8,0.0,2.3,39.9,0.8,1.2,0.06,21.4,193.0,126.0,319,7,DST
"Steelers, PIT",0.8,0.0,1.5,44.9,0.9,1.2,0.13,21.9,256.0,95.0,351,7,DST
"Buccaneers, TB",0.8,0.0,2.4,42.5,0.8,1.2,0.25,28.8,301.0,93.0,394,7,DST
"Browns, CLE",0.5,0.0,1.7,42.2,0.7,1.0,0.08,23.7,238.0,148.0,386,6,DST
"Colts, IND",0.7,0.0,2.4,43.7,0.9,1.3,0.09,31.7,276.0,119.0,395,6,DST
