Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,571.0,0.0,0.0,0.0,0.0,1.0,DST
Buffalo Bills,BUF,1.0,4.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,278.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,397.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,423.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,461.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,393.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,3.0,3.0,0.0,0.0,79.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,449.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,1.0,0.0,0.0,0.0,0.0,163.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,405.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,222.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,2.0,0.0,2.0,0.0,0.0,169.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,331.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,1.0,2.0,0.0,0.0,0.0,0.0,126.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,302.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,2.0,2.0,0.0,0.0,55.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,396.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,2.0,2.0,0.0,1.0,0.0,1.0,40.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,443.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,231.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,0.0,2.0,0.0,0.0,47.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,337.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,355.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,339.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,1.0,1.0,1.0,0.0,0.0,73.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,299.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,5.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,244.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,2.0,1.0,0.0,0.0,1.0,1.0,43.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,277.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,1.0,3.0,2.0,0.0,0.0,58.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,486.0,0.0,0.0,0.0,1.0,0.0,DST
Seattle Seahawks,SEA,1.0,5.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,425.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,476.0,0.0,0.0,0.0,1.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,118.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,311.0,0.0,1.0,0.0,0.0,0.0,DST
