Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Austin Seferian-Jenkins,JAX,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,0.0,0.0,4.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Phillip Supernaw,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Randall Telfer,,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,1.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
