Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.04,0.0,0.97,10.23,0.06,TE
Dwayne Allen,NE,1.0,0.03,0.0,0.41,3.64,0.03,TE
Mark Andrews,BAL,1.0,0.06,0.0,1.47,16.76,0.1,TE
Antony Auclair,TB,1.0,0.03,0.0,0.11,1.27,0.02,TE
Nick Boyle,BAL,1.0,0.05,0.0,2.5,23.58,0.12,TE
Cameron Brate,TB,1.0,0.03,0.0,2.01,21.9,0.13,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.1,1.38,0.02,TE
Trey Burton,CHI,1.0,0.13,0.0,2.29,30.64,0.22,TE
Jake Butt,DEN,1.0,0.12,0.0,2.06,24.1,0.14,TE
Derek Carrier,OAK,1.0,0.01,0.0,0.76,6.54,0.04,TE
Garrett Celek,SF,1.0,0.02,0.0,1.01,11.67,0.1,TE
Charles Clay,BUF,1.0,0.16,0.0,3.58,37.2,0.25,TE
Tyler Conklin,MIN,1.0,0.05,0.0,0.4,4.53,0.04,TE
Jared Cook,OAK,1.0,0.01,0.0,3.6,43.3,0.28,TE
Jason Croom,BUF,1.0,0.06,0.0,0.8,8.02,0.06,TE
Alan Cross,TB,1.0,0.03,0.0,0.36,4.14,0.04,TE
Sean Culkin,LAC,1.0,0.03,0.0,0.26,3.29,0.03,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.16,2.29,0.02,TE
Vernon Davis,WAS,1.0,0.03,0.0,1.35,16.7,0.1,TE
A.J. Derby,MIA,1.0,0.03,0.0,1.55,16.15,0.08,TE
Will Dissly,SEA,1.0,0.1,0.0,2.42,30.09,0.23,TE
Jack Doyle,IND,1.0,0.06,0.0,4.98,47.11,0.31,TE
Eric Ebron,IND,1.0,0.09,0.0,3.72,41.78,0.32,TE
Tyler Eifert,CIN,1.0,0.03,0.0,2.48,26.1,0.2,TE
