Player,Team,Salary
Travis Kelce,KC,5900
Jesse James,PIT,2800
Zach Ertz,PHI,6100
Evan Engram,NYG,4600
O.J. Howard,TB,3200
Austin Hooper,ATL,2900
Jimmy Graham,GB,4800
Kyle Rudolph,MIN,4200
Will Dissly,SEA,3300
Trey Burton,CHI,4100
Eric Ebron,IND,3500
Austin Seferian-Jenkins,JAX,3200
Mark Andrews,BAL,2600
Jordan Reed,WAS,5000
Garrett Celek,SF,2600
Josh Perkins,PHI,2500
A.J. Derby,MIA,2500
Jared Cook,OAK,3600
Jake Butt,DEN,2700
Michael Roberts,DET,2500
Virgil Green,LAC,2700
C.J. Uzomah,CIN,2500
Tyler Higbee,LAR,2800
Maxx Williams,BAL,2500
Jacob Hollister,NE,2500
David Njoku,CLE,3000
Ricky Seals-Jones,ARI,2900
Vance McDonald,PIT,3100
Nick Vannett,SEA,2500
Chris Herndon,NYJ,2500
Charles Clay,BUF,3100
Benjamin Watson,NO,3400
Nick Boyle,BAL,2600
Tyler Eifert,CIN,3500
George Kittle,SF,3800
Jordan Akins,HOU,2600
Jack Doyle,IND,4000
David Morgan,MIN,2500
Darren Fells,CLE,2500
Luke Stocker,TEN,2500
Rob Gronkowski,NE,7000
Eric Tomlinson,NYJ,2500
Tyler Kroft,CIN,2700
Ian Thomas,CAR,2900
Jeff Heuerman,DEN,2500
Ryan Griffin,HOU,2700
Gerald Everett,LAR,2500
James O'Shaughnessy,JAX,2500
Jason Croom,BUF,2500
Rhett Ellison,NYG,2500
Luke Willson,DET,3000
Logan Paulsen,ATL,2500
Logan Thomas,BUF,2500
Vernon Davis,WAS,3300
Derek Carrier,OAK,2500
Josh Hill,NO,2500
Lance Kendricks,GB,2500
Clark Harris,CIN,2500
Jeremy Sprinkle,WAS,2500
Dion Sims,CHI,2500
Blake Jarwin,DAL,2500
Chris Manhertz,CAR,2500
Neal Sterling,NYJ,2500
Antony Auclair,TB,2500
Marcedes Lewis,GB,2500
Antonio Gates,LAC,2600
Jonnu Smith,TEN,3100
Geoff Swaim,DAL,2500
Demetrius Harris,KC,2700
Mike Gesicki,MIA,2800
Xavier Grimble,PIT,2500
Dallas Goedert,PHI,2700
Lee Smith,OAK,2500
Matt LaCosse,DEN,2500
Jordan Thomas,HOU,2500
Dwayne Allen,NE,2600
Eric Saubert,ATL,2500
Alan Cross,TB,2500
Gabe Holmes,ARI,2500
Levine Toilolo,DET,2500
Ben Braunecker,CHI,2500
Tyler Conklin,MIN,2500
Cameron Brate,TB,2800
