Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,Buf,L 17-23,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@Atl,W 23-17,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@GB,L 14-35,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@Cle,W 31-7,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Cin,L 7-31,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,LAR,L 30-35,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,Oak,W 16-10,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@Min,W 14-7,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Chi,W 35-14,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Hou,L 14-57,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Sea,L 18-46,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Wsh,W 29-20,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Den,L 10-16,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Dal,W 35-30,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,NO,L 0-20,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,Det,L 7-14,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,Car,L 30-33,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@Mia,W 20-0,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@TB,L 23-25,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,Jax,W 23-20,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@LAC,W 26-24,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,SF,W 18-15,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Bal,W 26-9,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Phi,L 24-26,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Ari,L 15-18,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,Ind,W 46-18,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,NYG,W 25-23,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@KC,L 20-29,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@NE,W 33-30,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@NYJ,L 20-23,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Pit,L 9-26,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Ten,W 57-14,--,--,--,--,--,--,--,--,DST
