Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Adam Thielen,WR,MIN,0.4,0.0,8.4,105.7,0.7
DeAndre Hopkins,WR,HOU,0.4,0.0,6.8,100.4,0.8
Antonio Brown,WR,PIT,0.0,0.0,7.4,96.6,0.8
Tyreek Hill,WR,KC,6.7,0.1,5.3,82.5,0.7
Michael Thomas,WR,NO,0.0,0.0,7.4,90.9,0.7
Davante Adams,WR,GB,0.0,0.0,6.8,86.3,0.7
Brandin Cooks,WR,LAR,3.2,0.0,5.7,84.8,0.7
Robert Woods,WR,LAR,5.2,0.0,6.0,82.2,0.6
JuJu Smith-Schuster,WR,PIT,0.0,0.0,6.2,83.9,0.6
T.Y. Hilton,WR,IND,0.0,0.0,5.2,79.1,0.7
Stefon Diggs,WR,MIN,3.0,0.0,6.4,75.7,0.6
Mike Evans,WR,TB,0.0,0.0,6.0,79.0,0.6
Jarvis Landry,WR,CLE,0.1,0.0,6.4,76.9,0.5
Tyler Boyd,WR,CIN,1.0,0.0,5.5,68.4,0.6
Kenny Golladay,WR,DET,0.1,0.0,5.1,69.3,0.5
Alshon Jeffery,WR,PHI,0.0,0.0,5.0,65.6,0.6
Golden Tate,WR,PHI,2.0,0.0,6.3,68.1,0.5
John Brown,WR,BAL,1.4,0.0,4.2,65.4,0.5
Julian Edelman,WR,NE,1.2,0.0,5.3,59.4,0.6
Doug Baldwin,WR,SEA,0.0,0.0,5.0,60.9,0.5
Devin Funchess,WR,CAR,0.0,0.0,4.0,55.9,0.5
Tyler Lockett,WR,SEA,2.7,0.0,3.5,52.8,0.5
Sammy Watkins,WR,KC,3.3,0.0,3.6,49.5,0.5
Chris Godwin,WR,TB,0.0,0.0,4.0,51.1,0.5
Jordy Nelson,WR,OAK,0.0,0.0,4.5,55.9,0.3
Taylor Gabriel,WR,CHI,4.1,0.0,4.7,56.9,0.3
Michael Crabtree,WR,BAL,0.0,0.0,5.0,59.3,0.2
Sterling Shepard,WR,NYG,0.2,0.0,4.8,59.0,0.2
DeSean Jackson,WR,TB,1.8,0.0,3.4,56.6,0.2
Tre'Quan Smith,WR,NO,0.1,0.0,3.2,45.7,0.4
Marquise Goodwin,WR,SF,2.3,0.0,3.6,54.3,0.2
Keelan Cole,WR,JAX,0.0,0.0,4.1,55.3,0.2
Chester Rogers,WR,IND,0.0,0.0,4.3,50.5,0.2
Danny Amendola,WR,MIA,0.1,0.0,5.2,53.3,0.2
Jermaine Kearse,WR,NYJ,0.0,0.0,4.2,52.4,0.2
Anthony Miller,WR,CHI,0.1,0.0,3.5,43.5,0.3
