Player,POS,Team,Fantasy Points,Int,Fum Rec,Sack,Status,TD
Chicago Bears,DST,CHI,8.7,1.0,0.4,1.5, ,0.1
Oakland Raiders,DST,OAK,7.0,1.0,0.3,1.8, ,0.1
Carolina Panthers,DST,CAR,6.5,1.3,0.6,2.1, ,0.2
Kansas City Chiefs,DST,KC,6.3,1.0,0.6,2.5, ,0.2
Dallas Cowboys,DST,DAL,6.3,0.6,0.4,2.0, ,0.2
Houston Texans,DST,HOU,6.3,1.1,0.6,2.3, ,0.2
Miami Dolphins,DST,MIA,6.1,1.2,0.5,1.1, ,0.2
Denver Broncos,DST,DEN,5.7,0.8,0.5,2.5, ,0.2
Tennessee Titans,DST,TEN,5.6,0.5,0.5,2.1, ,0.2
Washington Redskins,DST,WAS,5.6,0.6,0.6,2.9, ,0.2
San Francisco 49ers,DST,SF,5.6,0.8,0.4,1.8, ,0.2
Baltimore Ravens,DST,BAL,5.3,1.0,0.5,1.9, ,0.2
Detroit Lions,DST,DET,5.3,0.6,0.5,2.7, ,0.2
New York Jets,DST,NYJ,5.3,0.8,0.5,1.0, ,0.2
Minnesota Vikings,DST,MIN,5.2,0.9,0.4,2.2, ,0.2
Pittsburgh Steelers,DST,PIT,5.2,0.7,0.5,2.4, ,0.2
Los Angeles Chargers,DST,LAC,5.1,0.5,0.3,2.3, ,0.1
New England Patriots,DST,NE,4.9,0.6,0.4,2.6, ,0.2
Buffalo Bills,DST,BUF,4.7,0.9,0.6,1.3, ,0.2
Seattle Seahawks,DST,SEA,4.4,0.7,0.5,1.7, ,0.2
Los Angeles Rams,DST,LAR,3.8,0.6,0.6,2.1, ,0.2
Atlanta Falcons,DST,ATL,3.4,0.3,0.4,1.9, ,0.1
Green Bay Packers,DST,GB,3.2,0.7,0.4,2.0, ,0.2
New Orleans Saints,DST,NO,3.1,0.6,0.5,1.7, ,0.2
Tampa Bay Buccaneers,DST,TB,2.9,0.6,0.5,1.7, ,0.2
Cleveland Browns,DST,CLE,1.9,0.8,0.6,1.7, ,0.2
Cincinnati Bengals,DST,CIN,,,,, ,
Indianapolis Colts,DST,IND,,,,, ,
New York Giants,DST,NYG,,,,, ,
Philadelphia Eagles,DST,PHI,,,,, ,
Arizona Cardinals,DST,ARI,,,,, ,
Jacksonville Jaguars,DST,JAX,,,,, ,
