Player,Team,Salary
Chicago Bears,CHI,5400
Miami Dolphins,MIA,4200
Minnesota Vikings,MIN,4100
San Francisco 49ers,SF,4500
Los Angeles Chargers,LAC,3600
Tennessee Titans,TEN,3400
New York Jets,NYJ,3700
Dallas Cowboys,DAL,4200
Detroit Lions,DET,3300
Carolina Panthers,CAR,4300
Kansas City Chiefs,KC,3900
Atlanta Falcons,ATL,3600
Denver Broncos,DEN,3400
Houston Texans,HOU,4700
New England Patriots,NE,3500
Seattle Seahawks,SEA,4000
Pittsburgh Steelers,PIT,3800
Buffalo Bills,BUF,3000
Green Bay Packers,GB,3300
Baltimore Ravens,BAL,3500
Cleveland Browns,CLE,3000
Washington Redskins,WAS,3400
Oakland Raiders,OAK,3300
Tampa Bay Buccaneers,TB,3000
New Orleans Saints,NO,3200
Los Angeles Rams,LAR,3400
