Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Chicago Bears,DST,CHI,11.6,224,2.1,0.9,3.2,0.0,0.39
Dallas Cowboys,DST,DAL,17.4,289,0.9,0.8,2.8,0.0,0.27
Kansas City Chiefs,DST,KC,19.8,365,1.1,0.9,2.9,0.0,0.4
Miami Dolphins,DST,MIA,20.2,318,1.6,0.8,1.9,0.0,0.35
Carolina Panthers,DST,CAR,23.2,439,1.4,1.1,2.9,0.0,0.38
New York Jets,DST,NYJ,20.1,304,1.3,0.7,1.7,0.0,0.31
Denver Broncos,DST,DEN,23.6,357,1.5,0.7,3.2,0.0,0.31
Oakland Raiders,DST,OAK,23.5,366,1.3,1.1,2.7,0.0,0.3
Seattle Seahawks,DST,SEA,19.0,364,0.9,0.9,1.6,0.0,0.27
Detroit Lions,DST,DET,25.2,381,0.6,1.1,2.7,0.0,0.27
Baltimore Ravens,DST,BAL,21.1,374,1.1,0.7,2.1,0.1,0.29
Houston Texans,DST,HOU,25.8,359,0.8,0.9,2.6,0.0,0.24
Buffalo Bills,DST,BUF,23.6,355,0.8,1.1,2.3,0.0,0.22
New England Patriots,DST,NE,21.9,407,0.6,0.9,2.6,0.0,0.3
Tennessee Titans,DST,TEN,23.8,314,0.9,0.7,2.6,0.0,0.25
Minnesota Vikings,DST,MIN,22.2,345,0.8,0.8,2.5,0.0,0.25
Pittsburgh Steelers,DST,PIT,22.6,312,1.0,0.6,2.5,0.0,0.24
Los Angeles Chargers,DST,LAC,22.2,349,0.9,0.6,2.6,0.0,0.22
San Francisco 49ers,DST,SF,24.0,361,1.0,0.9,1.4,0.0,0.26
Washington Redskins,DST,WAS,21.8,352,0.6,0.8,2.1,0.0,0.21
Atlanta Falcons,DST,ATL,26.3,374,0.4,1.1,1.5,0.0,0.21
Los Angeles Rams,DST,LAR,29.2,393,0.6,1.3,1.8,0.0,0.3
Green Bay Packers,DST,GB,30.5,385,0.7,0.8,2.2,0.1,0.22
New Orleans Saints,DST,NO,30.8,411,0.8,0.7,1.9,0.1,0.25
Tampa Bay Buccaneers,DST,TB,32.4,393,0.8,0.9,1.4,0.0,0.24
