Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Chicago Bears,DST,CHI,13.5,259.8,1.4,0.7,2.7,0.0,0.3
Carolina Panthers,DST,CAR,25.7,433.5,1.3,0.8,2.6,0.0,0.3
Dallas Cowboys,DST,DAL,18.2,294.9,0.8,0.7,2.7,0.0,0.2
Denver Broncos,DST,DEN,23.5,371.2,1.2,0.7,3.2,0.0,0.2
Kansas City Chiefs,DST,KC,20.4,339.7,1.0,0.7,2.8,0.0,0.2
Oakland Raiders,DST,OAK,23.4,363.7,1.1,0.8,2.4,0.0,0.2
Miami Dolphins,DST,MIA,20.2,328.7,1.2,0.7,1.9,0.0,0.2
Minnesota Vikings,DST,MIN,23.1,367.1,1.0,0.7,2.5,0.0,0.2
Houston Texans,DST,HOU,25.0,373.8,0.9,0.7,2.5,0.0,0.2
Washington Redskins,DST,WAS,23.3,379.1,0.7,0.8,2.5,0.0,0.2
Baltimore Ravens,DST,BAL,22.0,377.3,1.1,0.6,1.9,0.1,0.2
Detroit Lions,DST,DET,26.2,388.7,0.7,0.8,2.6,0.0,0.2
New England Patriots,DST,NE,24.1,392.3,0.7,0.7,2.7,0.0,0.2
Los Angeles Rams,DST,LAR,29.8,414.3,0.7,0.8,2.1,0.0,0.2
Pittsburgh Steelers,DST,PIT,22.7,337.2,0.9,0.6,2.4,0.0,0.2
New York Jets,DST,NYJ,21.0,320.5,1.1,0.6,1.8,0.0,0.2
Los Angeles Chargers,DST,LAC,25.0,357.3,0.8,0.5,2.8,0.0,0.1
Tennessee Titans,DST,TEN,23.7,341.4,0.7,0.6,2.5,0.0,0.2
New Orleans Saints,DST,NO,31.6,426.5,0.8,0.7,2.3,0.1,0.2
Seattle Seahawks,DST,SEA,23.2,375.4,0.9,0.7,2.0,0.0,0.2
San Francisco 49ers,DST,SF,23.8,364.9,0.9,0.7,1.8,0.0,0.2
Buffalo Bills,DST,BUF,23.8,371.7,0.8,0.8,2.1,0.0,0.2
Green Bay Packers,DST,GB,30.5,402.6,0.6,0.7,2.1,0.1,0.2
Tampa Bay Buccaneers,DST,TB,32.2,415.1,0.7,0.7,1.9,0.0,0.2
Atlanta Falcons,DST,ATL,26.5,381.0,0.6,0.8,2.1,0.0,0.1
Cleveland Browns,DST,CLE,30.2,400.9,0.8,0.6,1.7,0.0,0.2
