Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Chicago Bears,DST,CHI,15.0,269.0,1.1,0.7,3.3,0.0,0.1,0.30000000000000004
Miami Dolphins,DST,MIA,20.0,339.0,1.2,0.6,2.7,0.0,0.0,0.2
Dallas Cowboys,DST,DAL,17.8,312.0,1.0,0.6,3.1,0.0,0.0,0.1
Houston Texans,DST,HOU,23.8,360.0,0.8,0.6,2.8,0.1,0.0,0.30000000000000004
Kansas City Chiefs,DST,KC,21.8,349.0,1.0,0.6,3.0,0.0,0.0,0.2
Minnesota Vikings,DST,MIN,21.5,386.0,0.8,0.5,2.6,0.1,0.0,0.30000000000000004
Washington Redskins,DST,WAS,23.8,389.0,0.8,0.6,2.8,0.0,0.0,0.2
Carolina Panthers,DST,CAR,24.5,390.0,1.0,0.6,3.1,0.0,0.1,0.2
New York Jets,DST,NYJ,23.0,351.0,1.0,0.6,2.5,0.0,0.0,0.1
Denver Broncos,DST,DEN,22.8,360.0,0.8,0.6,2.7,0.0,0.1,0.30000000000000004
Seattle Seahawks,DST,SEA,22.8,407.0,0.8,0.6,2.4,0.1,0.1,0.1
Los Angeles Chargers,DST,LAC,22.8,367.0,0.8,0.5,2.5,0.0,0.0,0.2
Baltimore Ravens,DST,BAL,22.5,370.0,0.8,0.5,2.4,0.1,0.0,0.2
Pittsburgh Steelers,DST,PIT,23.5,357.0,0.8,0.5,2.4,0.1,0.1,0.2
New England Patriots,DST,NE,25.8,391.0,0.8,0.5,2.5,0.1,0.1,0.1
Tennessee Titans,DST,TEN,22.3,336.0,0.7,0.5,2.2,0.0,0.1,0.2
Buffalo Bills,DST,BUF,23.5,376.0,0.9,0.5,2.6,0.0,0.0,0.1
Detroit Lions,DST,DET,26.0,423.0,0.8,0.6,2.3,0.0,0.1,0.1
Oakland Raiders,DST,OAK,23.5,310.0,0.8,0.7,2.8,0.1,0.0,0.1
Atlanta Falcons,DST,ATL,23.3,354.0,0.6,0.5,2.1,0.0,0.0,0.1
New Orleans Saints,DST,NO,28.3,457.0,0.8,0.5,2.4,0.0,0.0,0.2
San Francisco 49ers,DST,SF,20.5,365.0,0.8,0.5,2.5,0.0,0.0,0.1
Cleveland Browns,DST,CLE,29.8,423.0,0.6,0.5,2.1,0.0,0.0,0.2
Green Bay Packers,DST,GB,30.8,413.0,0.7,0.5,2.1,0.0,0.0,0.1
Tampa Bay Buccaneers,DST,TB,30.5,407.0,0.6,0.5,2.1,0.0,0.1,0.2
Los Angeles Rams,DST,LAR,28.3,464.0,0.7,0.4,2.0,0.0,0.0,0.1
Jacksonville Jaguars,DST,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York Giants,DST,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indianapolis Colts,DST,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bengals,DST,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philadelphia Eagles,DST,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona Cardinals,DST,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
