Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Ben Roethlisberger,QB,PIT,325,3,1,5,0
Patrick Mahomes,QB,KC,290,3,0,15,0
Lamar Jackson,QB,BAL,175,1,1,70,1
Deshaun Watson,QB,HOU,225,1,1,45,1
Jameis Winston,QB,TB,305,2,1,20,0
Cam Newton,QB,CAR,260,2,1,40,0
Mitchell Trubisky,QB,CHI,275,2,1,30,0
Drew Brees,QB,NO,305,2,0,0,0
Baker Mayfield,QB,CLE,285,2,1,10,0
Aaron Rodgers,QB,GB,275,2,0,10,0
Russell Wilson,QB,SEA,255,2,1,20,0
Matt Ryan,QB,ATL,280,2,1,5,0
Jared Goff,QB,LAR,275,2,1,5,0
Dak Prescott,QB,DAL,245,2,0,20,0
Kirk Cousins,QB,MIN,265,2,0,5,0
Carson Wentz,QB,PHI,265,2,1,5,0
Tom Brady,QB,NE,270,2,0,0,0
Andrew Luck,QB,IND,260,2,1,5,0
Philip Rivers,QB,LAC,270,2,1,0,0
Case Keenum,QB,DEN,235,2,1,5,0
Eli Manning,QB,NYG,240,2,1,0,0
Josh Allen,QB,BUF,190,1,1,55,0
Marcus Mariota,QB,TEN,230,1,1,30,0
Mark Sanchez,QB,WAS,240,1,1,15,0
Jeff Driskel,QB,CIN,240,1,1,10,0
Derek Carr,QB,OAK,245,1,1,5,0
Matthew Stafford,QB,DET,245,1,1,5,0
Nick Mullens,QB,SF,245,1,1,0,0
Ryan Tannehill,QB,MIA,220,1,1,10,0
Sam Darnold,QB,NYJ,210,1,1,10,0
Cody Kessler,QB,JAX,190,1,1,15,0
Josh Rosen,QB,ARI,180,1,1,10,0
Taysom Hill,QB,NO,0,0,0,10,0
