Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
C.J. Beathard,SF,1.0,36.0,19.0,17.0,245.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,35.0,23.0,12.0,241.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,38.0,20.0,18.0,257.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,30.0,20.0,10.0,186.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,37.0,21.0,16.0,212.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,30.0,21.0,9.0,171.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Kirk Cousins,MIN,1.0,37.0,25.0,12.0,330.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Jay Cutler,,1.0,33.0,19.0,14.0,151.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,32.0,22.0,10.0,290.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,41.0,24.0,17.0,180.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,QB
Jared Goff,LA,1.0,21.0,11.0,10.0,124.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kevin Hogan,DEN,1.0,37.0,20.0,17.0,140.0,1.0,3.0,4.0,0.0,0.0,0.0,5.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,11.0,4.0,7.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brett Hundley,SEA,1.0,33.0,18.0,15.0,157.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Case Keenum,DEN,1.0,38.0,24.0,14.0,239.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,19.0,11.0,8.0,128.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-5.0,QB
Marcus Mariota,TEN,1.0,32.0,23.0,9.0,306.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,47.0,31.0,16.0,354.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,52.0,28.0,24.0,239.0,1.0,3.0,2.0,0.0,0.0,0.0,11.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,4.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,36.0,25.0,11.0,268.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,4.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,25.0,17.0,8.0,252.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,35.0,24.0,11.0,248.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,50.0,29.0,21.0,376.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Alex Smith,WAS,1.0,34.0,19.0,15.0,246.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,52.0,25.0,27.0,312.0,3.0,3.0,5.0,1.0,1.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,16.0,8.0,8.0,113.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,32.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,QB
Deshaun Watson,HOU,1.0,29.0,17.0,12.0,225.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,30.0,16.0,14.0,222.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,10.0,5.0,5.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
