Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh McCown, NYJ QB",NE,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",GB,W 23-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",TB,W 38-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Eli Manning, NYG QB",@Den,W 23-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",Mia,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Luke McCown, Dal QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Alex Smith, Wsh QB",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Aaron Rodgers, GB QB",@Min,L 10-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",@Jax,W 27-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",Phi,L 23-28,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",@Ari,L 33-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",@Oak,W 17-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Charlie Whitehurst, Cle QB",@Hou,L 17-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",@KC,W 19-13,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",@Hou,L 17-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",@Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",Mia,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Flacco, Bal QB",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chad Henne, KC QB",Pit,L 13-19,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Johnson, Oak QB",LAC,L 16-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Flynn, NO QB",Det,W 52-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chase Daniel, Chi QB",@Bal,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Freeman, Ind QB",@Ten,L 22-36,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brian Hoyer, NE QB",@NYJ,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mark Sanchez, Chi QB",@Bal,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matthew Stafford, Det QB",@NO,L 38-52,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Sam Bradford, Ari QB",TB,W 38-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jimmy Clausen, Bal QB",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Colt McCoy, Wsh QB",SF,W 26-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan LeFevour, TB QB",@Ari,L 33-38,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Webb, Hou QB",Cle,W 33-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Thaddeus Lewis, Bal QB",Chi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Christian Ponder, SF QB",@Wsh,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Blaine Gabbert, Ten QB",Ind,W 36-22,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Cam Newton, Car QB",Phi,L 23-28,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Colin Kaepernick, SF QB",@Wsh,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
