Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Brandon McManus, DEN",2.3,2.6,0,2.7,2.7,0.0,9,K
"Sebastian Janikowski, SEA",1.9,2.4,0,3.0,3.0,0.0,9,K
"Matt Bryant, ATL",2.0,2.3,0,2.6,2.6,0.0,8,K
"Stephen Hauschka, BUF",1.9,2.2,0,2.6,2.6,0.0,8,K
"Cairo Santos, TB",1.9,2.2,0,2.6,2.6,0.0,8,K
"Adam Vinatieri, IND",1.9,1.9,0,2.3,2.3,0.0,8,K
"Jason Myers, NYJ",1.9,2.2,0,2.1,2.1,0.0,7,K
"Blair Walsh, SEA",1.9,2.5,0,2.0,2.0,0.0,7,K
"Stephen Gostkowski, NE",1.8,2.1,0,2.4,2.4,0.0,7,K
"Mike Nugent, OAK",1.8,2.2,0,2.4,2.4,0.0,7,K
"Nick Novak, LAC",1.9,2.2,0,2.0,2.0,0.0,7,K
"Mason Crosby, GB",1.7,1.9,0,2.6,2.6,0.0,7,K
"Dan Bailey, MIN",1.6,1.9,0,2.7,2.7,0.0,7,K
"Caleb Sturgis, LAC",1.8,2.0,0,2.1,2.1,0.0,7,K
"Ryan Succop, TEN",1.7,2.0,0,2.5,2.5,0.0,7,K
"Dustin Hopkins, WAS",1.7,1.9,0,2.1,2.1,0.0,7,K
"Chandler Catanzaro, CAR",1.6,2.0,0,2.4,2.4,0.0,7,K
"Roberto Aguayo, LAC",1.6,2.3,0,2.2,2.2,0.0,7,K
"Graham Gano, CAR",1.6,2.0,0,2.2,2.2,0.0,7,K
"Josh Lambo, JAC",1.6,1.7,0,1.8,1.8,0.0,6,K
"Nick Folk, TB",1.4,1.7,0,2.2,2.2,0.0,6,K
"Wil Lutz, NO",1.3,1.9,0,2.2,2.2,0.0,6,K
"Matt Prater, DET",1.4,1.7,0,2.0,2.0,0.0,6,K
"Cody Parkey, CHI",1.3,1.7,0,1.8,1.8,0.0,5,K
"Connor Barth, CHI",1.2,1.5,0,1.6,1.6,0.0,5,K
"Aldrick Rosas, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Kai Forbath, JAC",0.0,0.0,0,0.0,0.0,0.0,0,K
