Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,Tack,Fum Rec,Fum Yds,POS
C.J. Beathard,SF,1.0,38.0,22.0,16.0,235.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,30.0,1.0,2.0,2.0,1.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,26.0,18.0,8.0,330.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,29.0,21.0,8.0,249.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,QB
Drew Brees,NO,1.0,38.0,27.0,11.0,331.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,37.0,22.0,15.0,200.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,52.0,29.0,23.0,417.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,40.0,30.0,10.0,303.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jay Cutler,,1.0,16.0,12.0,4.0,138.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,30.0,17.0,13.0,140.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Austin Davis,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,39.0,27.0,12.0,186.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,-3.0,QB
