Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,Tack,Fum Rec,Fum Yds,POS
Jared Goff,LA,1.0,37.0,22.0,15.0,235.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Brett Hundley,SEA,1.0,25.0,12.0,13.0,87.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,31.0,20.0,11.0,188.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,19.0,10.0,9.0,121.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,20.0,12.0,8.0,114.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,39.0,19.0,20.0,134.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,QB
Sean Mannion,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,34.0,21.0,13.0,203.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,27.0,17.0,10.0,209.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,34.0,21.0,13.0,211.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,9.0,50.0,0.0,1.0,1.0,0.0,0.0,-1.0,QB
Dak Prescott,DAL,1.0,25.0,16.0,9.0,234.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,26.0,15.0,11.0,183.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,24.0,14.0,10.0,224.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cooper Rush,DAL,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,33.0,23.0,10.0,233.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,35.0,25.0,10.0,207.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,36.0,25.0,11.0,342.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,QB
Drew Stanton,CLE,1.0,14.0,5.0,9.0,66.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,33.0,20.0,13.0,268.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,7.0,4.0,3.0,107.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,25.0,17.0,8.0,268.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,8.0,63.0,0.0,0.0,2.0,0.0,1.0,-4.0,QB
Russell Wilson,SEA,1.0,39.0,27.0,12.0,334.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,44.0,32.0,12.0,384.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,-1.0,QB
