player,team,pos,proj,cost
Deshaun Watson,HOU,QB,13.957366666666665,310.0
Saquon Barkley,NYG,RB,23.38233333333333,590.0
Todd Gurley,LA,RB,22.993333333333332,1110.0
Odell Beckham,NYG,WR,22.772333333333336,140.0
Stefon Diggs,MIN,WR,18.796,1010.0
Julian Edelman,NE,WR,20.638666666666666,370.0
Jared Cook,OAK,TE,15.323666666666666,100.0
Chris Boswell,PIT,K,7.14,410.0
Chicago Bears,CHI,DST,3.726000000000001,960.0
,,,148.72969999999998,5000.0
