player,team,pos,proj,cost
Deshaun Watson,HOU,QB,13.957366666666665,310.0
Saquon Barkley,NYG,RB,23.38233333333333,590.0
Joe Mixon,CIN,RB,17.56533333333333,1070.0
Odell Beckham,NYG,WR,22.772333333333336,140.0
Julian Edelman,NE,WR,20.638666666666666,370.0
Julio Jones,ATL,WR,25.24533333333333,1820.0
Jared Cook,OAK,TE,15.323666666666666,100.0
Chris Boswell,PIT,K,7.14,410.0
Seattle Seahawks,SEA,DST,1.387999999999999,180.0
,,,147.41303333333332,4990.0
