Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",@Den,L 17-42,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Antonio Gates, LAC TE",Mia,L 17-19,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Winslow, NYJ TE",@Oak,L 20-45,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",NE,L 20-36,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",@LAR,W 27-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",@LAR,W 27-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",Ten,L 16-37,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",@LAC,W 19-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",Dal,W 42-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",Det,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",Buf,W 9-3,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",Min,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Scott Chandler*, NE TE",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brent Celek, Phi TE",@KC,L 20-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clark Harris, Cin TE",Hou,L 9-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Fred Davis, Wsh TE",@LAR,W 27-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",@NO,W 36-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Craig Stevens, Ten TE",@Jax,W 37-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",@Bal,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jacob Tamme, Atl TE",GB,W 34-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",@Oak,L 20-45,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",@NYG,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Johnson, Pit TE",Min,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
