Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,2PT,POS
Philip Rivers,LAC,1.0,4393.09,32.7,10.7,8.0,0.03,0.0,0.0,1.02,6.16,QB
Aaron Rodgers,GB,1.0,4671.05,26.83,2.63,287.24,2.15,0.0,0.0,3.05,3.13,QB
Ben Roethlisberger,PIT,1.0,5138.1,34.95,15.7,102.23,3.11,1.0,-1.0,2.04,5.22,QB
Josh Rosen,ARI,1.0,2309.8,10.9,14.88,147.77,0.1,0.0,0.0,3.06,1.09,QB
Cooper Rush,DAL,1.0,63.41,0.18,0.42,3.2,0.04,0.0,0.0,0.02,0.03,QB
Matt Ryan,ATL,1.0,4827.99,34.91,6.59,125.21,3.11,0.0,0.0,5.06,5.09,QB
Mark Sanchez,WAS,1.0,149.59,0.04,3.07,8.78,0.01,0.0,0.0,0.01,0.03,QB
Tom Savage,CIN,1.0,20.87,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.03,QB
Matt Schaub,ATL,1.0,26.35,0.02,0.04,0.0,0.0,1.0,-7.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,6.61,0.02,0.05,0.06,0.01,0.0,0.0,0.0,0.03,QB
Alex Smith,WAS,0.0,2180.0,10.0,5.0,168.0,1.0,0.0,0.0,1.0,1.0,QB
Geno Smith,LAC,1.0,40.33,0.16,0.14,4.77,0.02,0.0,0.0,0.02,0.03,QB
Matthew Stafford,DET,1.0,3732.63,20.32,11.67,75.95,0.05,0.0,0.0,4.04,1.06,QB
Drew Stanton,CLE,1.0,15.01,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.01,QB
Nate Sudfeld,PHI,1.0,16.29,0.05,0.1,0.0,0.01,0.0,0.0,0.01,0.03,QB
Ryan Tannehill,MIA,1.0,2015.09,18.12,7.82,147.86,0.09,0.0,0.0,3.07,0.06,QB
Alex Tanney,NYG,1.0,20.35,0.09,0.1,0.0,0.01,0.0,0.0,0.01,0.03,QB
Tyrod Taylor,CLE,1.0,481.74,2.06,2.04,125.0,1.01,0.0,0.0,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,3266.12,25.26,12.72,426.32,3.17,0.0,0.0,3.08,3.15,QB
Deshaun Watson,HOU,1.0,4165.0,27.67,9.64,517.74,4.19,0.0,0.0,3.07,1.12,QB
Davis Webb,NYJ,1.0,15.32,0.05,0.09,0.22,0.01,0.0,0.0,0.01,0.04,QB
Joe Webb,HOU,1.0,33.95,0.13,0.22,0.13,0.02,2.0,13.0,0.01,0.0,QB
Brandon Weeden,HOU,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,0.0,3074.0,21.0,7.0,93.0,0.0,1.0,4.0,6.0,1.0,QB
Russell Wilson,SEA,1.0,3504.59,35.47,6.7,409.54,0.21,1.0,-11.0,2.01,1.09,QB
Jameis Winston,TB,1.0,2896.45,16.6,13.86,280.67,1.17,0.0,0.0,3.11,1.09,QB
