Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Tom Brady,QB,NE,4704.0,32.9,7.8,30.0,1.9,0,0,0, 
Aaron Rodgers,QB,GB,4018.7,33.5,9.2,308.8,1.7,0,0,0,Q
Cam Newton,QB,CAR,3779.0,22.4,14.2,583.9,5.6,0,0,0,Q
Russell Wilson,QB,SEA,3694.6,25.8,10.0,487.5,2.7,0,0,0, 
Alex Smith,QB,WAS,4194.2,24.8,8.3,300.2,1.7,0,0,0,IR
Andrew Luck,QB,IND,4309.4,28.1,16.2,285.0,1.5,0,0,0, 
Carson Wentz,QB,PHI,3882.5,27.9,11.5,255.0,2.6,0,0,0,Q
Deshaun Watson,QB,HOU,3738.9,25.9,16.9,443.9,2.6,0,0,0, 
Ben Roethlisberger,QB,PIT,4526.2,28.8,14.6,57.9,0.8,0,0,0, 
Matthew Stafford,QB,DET,4373.8,27.3,10.6,104.1,1.0,0,0,0, 
Patrick Mahomes,QB,KC,4123.0,22.4,14.9,344.0,3.3,0,0,0, 
Kirk Cousins,QB,MIN,4315.0,27.3,14.1,135.6,2.0,0,0,0, 
Philip Rivers,QB,LAC,4338.9,29.7,11.6,49.4,0.4,0,0,0,Q
Matt Ryan,QB,ATL,4300.5,26.8,10.4,107.6,0.9,0,0,0, 
Drew Brees,QB,NO,4382.6,27.9,12.5,31.2,1.5,0,0,0, 
Marcus Mariota,QB,TEN,3785.0,23.8,13.4,365.7,2.6,0,0,0,Q
Jimmy Garoppolo,QB,SF,4373.9,23.8,12.7,107.4,1.8,0,0,0,IR
Mitchell Trubisky,QB,CHI,3954.8,24.0,12.9,280.0,2.4,0,0,0, 
Jared Goff,QB,LAR,4045.3,25.8,9.9,105.9,1.2,0,0,0, 
Andy Dalton,QB,CIN,4011.3,24.0,11.1,154.2,1.4,0,0,0,IR
Dak Prescott,QB,DAL,3682.7,21.1,13.2,306.1,3.1,0,0,0, 
Ryan Tannehill,QB,MIA,4151.8,22.7,14.0,186.1,1.4,0,0,0, 
Blake Bortles,QB,JAX,3761.6,20.1,12.3,332.7,2.5,0,0,0, 
Case Keenum,QB,DEN,4089.7,22.4,12.0,144.1,1.2,0,0,0, 
Derek Carr,QB,OAK,4122.1,24.7,12.5,86.1,0.8,0,0,0, 
Tyrod Taylor,QB,CLE,3007.3,19.4,6.3,414.7,2.9,0,0,0, 
Eli Manning,QB,NYG,4134.1,25.8,14.9,27.1,0.3,0,0,0, 
Jameis Winston,QB,TB,3570.3,22.9,11.7,160.6,1.1,0,0,0, 
Sam Darnold,QB,NYJ,3748.7,18.0,14.8,131.1,1.3,0,0,0, 
Joe Flacco,QB,BAL,3540.3,18.3,11.5,46.0,1.2,0,0,0, 
Josh Allen,QB,BUF,2663.4,12.4,13.8,127.0,1.3,0,0,0, 
Josh Rosen,QB,ARI,2376.1,12.2,8.9,45.2,0.4,0,0,0, 
Ryan Fitzpatrick,QB,TB,820.8,4.6,3.7,43.7,0.2,0,0,0, 
Nathan Peterman,QB,OAK,920.1,3.8,5.4,55.1,0.4,0,0,0, 
Baker Mayfield,QB,CLE,730.2,4.2,2.7,42.8,0.3,0,0,0, 
Lamar Jackson,QB,BAL,252.1,1.4,1.0,142.3,1.0,0,0,0, 
Nick Foles,QB,PHI,283.4,1.8,0.8,6.4,0.1,0,0,0, 
Jacoby Brissett,QB,IND,116.7,0.8,0.5,2.4,0.0,0,0,0, 
Kyle Lauletta,QB,NYG,122.4,0.7,0.5,2.3,0.0,0,0,0, 
Joshua Dobbs,QB,PIT,113.4,0.8,0.5,2.3,0.0,0,0,0, 
