Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
Player Note D. Prescott Dal - QB Final (W) 36-35 @ NYG,8,25,20,526,75.0,356,170,3885,305.0,0.0,0.0,22.0,6.0,0.0,0.0,8.0,0.0,56.0,184.0,25.0,0.0,9.0,526,75.0,3885,305.0,0.0,0.0,22.0,6.0,0.0,0.0,184.0,25.0,0.0,0.0,1.0,0.0,3885,305.0,0.0,0.0,22.0,6.0,0.0,0.0,184.0,25.0,0.0,0.0,3885,305.0,0.0,0.0,22.0,6.0,0.0,0.0,2.0,12.0,6.0,QB
Player Note C. Newton Car - QB Q Final (W) 33-14 @ NO,4,16,16,471,101.0,320,151,3395,488.0,0.0,0.0,24.0,4.0,0.0,0.0,13.0,1.0,29.0,180.0,36.0,0.0,3.0,471,101.0,3395,488.0,0.0,0.0,24.0,4.0,0.0,0.0,180.0,36.0,0.0,0.0,0.0,0.0,3395,488.0,0.0,0.0,24.0,4.0,0.0,0.0,180.0,36.0,0.0,0.0,3395,488.0,0.0,0.0,24.0,4.0,0.0,0.0,2.0,6.0,0.0,QB
Player Note T. Brady NE - QB Final (W) 38-3 vs NYJ,11,18,19,570,23.0,375,195,4355,35.0,6.0,0.0,29.0,2.0,0.0,0.0,11.0,0.0,21.0,205.0,10.0,0.0,8.0,570,23.0,4355,35.0,6.0,0.0,29.0,2.0,0.0,0.0,205.0,10.0,0.0,0.0,1.0,1.0,4355,35.0,6.0,0.0,29.0,2.0,0.0,0.0,205.0,10.0,0.0,0.0,4355,35.0,6.0,0.0,29.0,2.0,0.0,0.0,0.0,4.0,2.0,QB
No new player Notes M. Trubisky Chi - QB Final (W) 24-10 @ Min,5,19,22,434,68.0,289,145,3223,421.0,0.0,0.0,24.0,3.0,0.0,0.0,12.0,0.0,24.0,151.0,29.0,0.0,10.0,434,68.0,3223,421.0,0.0,0.0,24.0,3.0,0.0,0.0,151.0,29.0,0.0,0.0,0.0,0.0,3223,421.0,0.0,0.0,24.0,3.0,0.0,0.0,151.0,29.0,0.0,0.0,3223,421.0,0.0,0.0,24.0,3.0,0.0,0.0,4.0,6.0,3.0,QB
No new player Notes B. Mayfield Cle - QB Final (L) 26-24 @ Bal,11,32,29,486,39.0,310,176,3725,131.0,0.0,0.0,27.0,0.0,0.0,0.0,14.0,2.0,25.0,171.0,8.0,0.0,9.0,486,39.0,3725,131.0,0.0,0.0,27.0,0.0,0.0,0.0,171.0,8.0,0.0,0.0,1.0,0.0,3725,131.0,0.0,0.0,27.0,0.0,0.0,0.0,171.0,8.0,0.0,0.0,3725,131.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,7.0,3.0,QB
No new player Notes E. Manning NYG - QB Final (L) 36-35 vs Dal,9,31,30,576,15.0,380,196,4299,20.0,0.0,0.0,21.0,1.0,0.0,0.0,11.0,1.0,47.0,206.0,5.0,0.0,10.0,576,15.0,4299,20.0,0.0,0.0,21.0,1.0,0.0,0.0,206.0,5.0,0.0,0.0,0.0,0.0,4299,20.0,0.0,0.0,21.0,1.0,0.0,0.0,206.0,5.0,0.0,0.0,4299,20.0,0.0,0.0,21.0,1.0,0.0,0.0,3.0,7.0,4.0,QB
No new player Notes C. Keenum Den - QB Final (L) 23-9 vs LAC,10,38,35,586,26.0,365,221,3890,93.0,0.0,0.0,18.0,2.0,0.0,0.0,15.0,0.0,34.0,179.0,10.0,0.0,11.0,586,26.0,3890,93.0,0.0,0.0,18.0,2.0,0.0,0.0,179.0,10.0,0.0,0.0,0.0,0.0,3890,93.0,0.0,0.0,18.0,2.0,0.0,0.0,179.0,10.0,0.0,0.0,3890,93.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,11.0,2.0,QB
No new player Notes D. Carr Oak - QB Final (L) 35-3 @ KC,7,34,37,553,24.0,381,172,4049,47.0,-9.0,0.0,19.0,1.0,0.0,0.0,10.0,2.0,51.0,197.0,5.0,0.0,7.0,553,24.0,4049,47.0,-9.0,0.0,19.0,1.0,0.0,0.0,197.0,5.0,0.0,0.0,1.0,1.0,4049,47.0,-9.0,0.0,19.0,1.0,0.0,0.0,197.0,5.0,0.0,0.0,4049,47.0,-9.0,0.0,19.0,1.0,0.0,0.0,1.0,12.0,7.0,QB
No new player Notes M. Stafford Det - QB Final (W) 31-0 @ GB,6,40,39,555,25.0,367,188,3777,71.0,0.0,0.0,21.0,0.0,0.0,0.0,11.0,2.0,40.0,198.0,8.0,0.0,6.0,555,25.0,3777,71.0,0.0,0.0,21.0,0.0,0.0,0.0,198.0,8.0,0.0,0.0,0.0,0.0,3777,71.0,0.0,0.0,21.0,0.0,0.0,0.0,198.0,8.0,0.0,0.0,3777,71.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,4.0,QB
No new player Notes J. Allen Buf - QB Final (W) 42-17 vs Mia,11,54,43,320,89.0,169,151,2074,631.0,0.0,0.0,10.0,8.0,0.0,0.0,12.0,1.0,28.0,89.0,41.0,0.0,5.0,320,89.0,2074,631.0,0.0,0.0,10.0,8.0,0.0,0.0,89.0,41.0,0.0,1.0,1.0,0.0,2074,631.0,0.0,0.0,10.0,8.0,0.0,0.0,89.0,41.0,0.0,0.0,2074,631.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,8.0,2.0,QB
Player Note J. Winston TB - QB Final (L) 34-32 vs Atl,5,50,47,378,49.0,244,134,2992,281.0,0.0,0.0,19.0,1.0,0.0,0.0,14.0,1.0,27.0,152.0,19.0,0.0,6.0,378,49.0,2992,281.0,0.0,0.0,19.0,1.0,0.0,0.0,152.0,19.0,0.0,0.0,0.0,0.0,2992,281.0,0.0,0.0,19.0,1.0,0.0,0.0,152.0,19.0,0.0,0.0,2992,281.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,7.0,3.0,QB
Player Note C. Wentz Phi - QB Q Final (W) 24-0 @ Was,9,53,52,401,34.0,279,122,3074,93.0,4.0,0.0,21.0,0.0,0.0,0.0,7.0,0.0,31.0,159.0,9.0,1.0,5.0,401,34.0,3074,93.0,4.0,0.0,21.0,0.0,0.0,0.0,159.0,9.0,1.0,0.0,1.0,1.0,3074,93.0,4.0,0.0,21.0,0.0,0.0,0.0,159.0,9.0,1.0,0.0,3074,93.0,4.0,0.0,21.0,0.0,0.0,0.0,1.0,9.0,6.0,QB
No new player Notes B. Bortles Jax - QB Final (L) 20-3 @ Hou,9,55,59,403,58.0,243,160,2718,365.0,0.0,0.0,13.0,1.0,0.0,0.0,11.0,1.0,31.0,128.0,28.0,0.0,3.0,403,58.0,2718,365.0,0.0,0.0,13.0,1.0,0.0,0.0,128.0,28.0,0.0,1.0,0.0,0.0,2718,365.0,0.0,0.0,13.0,1.0,0.0,0.0,128.0,28.0,0.0,0.0,2718,365.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,9.0,4.0,QB
No new player Notes A. Dalton Cin - QB IR Final (L) 16-13 @ Pit,9,63,63,365,16.0,226,139,2566,99.0,0.0,0.0,21.0,0.0,0.0,0.0,11.0,1.0,21.0,132.0,4.0,0.0,1.0,365,16.0,2566,99.0,0.0,0.0,21.0,0.0,0.0,0.0,132.0,4.0,0.0,0.0,0.0,0.0,2566,99.0,0.0,0.0,21.0,0.0,0.0,0.0,132.0,4.0,0.0,0.0,2566,99.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
