Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Rob Gronkowski, NE TE",0/0,0,0,0,0,0,0,74.2,1122.2,9.7,244.1,TE
"Greg Olsen, Car TE",0/0,0,0,0,0,0,0,80.1,1062.5,6.5,225.9,TE
"Travis Kelce, KC TE",0/0,0,0,0,0,0,0,83.6,1050,4.7,216.8,TE
"Jordan Reed, Wsh TE",0/0,0,0,0,0,0,0,84.2,930.4,6.3,214.3,TE
"Kyle Rudolph, Min TE",0/0,0,0,0,0,0,0,76.6,741.7,6.6,190.9,TE
"Jimmy Graham, GB TE",0/0,0,0,0,0,0,0,61.3,768.6,7,179.7,TE
"Zach Ertz, Phi TE",0/0,0,0,0,0,0,0,74,771.5,4.4,178,TE
"Delanie Walker, Ten TE",0/0,0,0,0,0,0,0,60.4,708.2,5.7,164.9,TE
"Jack Doyle, Ind TE",0/0,0,0,0,0,0,0,62.7,619.2,5.9,159.4,TE
"Eric Ebron, Ind TE",0/0,0,0,0,0,0,0,62.5,700.4,4,156.1,TE
"Martellus Bennett, NE TE",0/0,0,0,0,0,0,0,58.9,609.2,5.9,155.4,TE
"Tyler Eifert, Cin TE",0/0,0,0,0,0,0,0,57.7,627.2,5.2,151.1,TE
"Jason Witten, Dal TE",0/0,0,0,0,0,0,0,62.3,626.2,4.4,151.1,TE
"Hunter Henry, LAC TE",0/0,0,0,0,0,0,0,51,600.2,6.2,147.9,TE
"Coby Fleener, NO TE",0/0,0,0,0,0,0,0,48.4,580.7,6,141.8,TE
"Austin Hooper, Atl TE",0/0,0,0,0,0,0,0,48,569.2,5.9,140.7,TE
"Charles Clay, Buf TE",0/0,0,0,0,0,0,0,56.8,604.3,3.5,138.3,TE
"C.J. Fiedorowicz, Hou TE",0/0,0,0,0,0,0,0,54.6,598.9,3.8,137.1,TE
"Cameron Brate, TB TE",0/0,0,0,0,0,0,0,50.9,552.1,5,135.9,TE
"Jared Cook, Oak TE",0/0,0,0,0,0,0,0,47.8,603.7,4.5,134.8,TE
"Evan Engram, NYG TE",0/0,0,0,0,0,0,0,51.1,556.7,4.2,131.8,TE
"Julius Thomas, Mia TE",0/0,0,0,0,0,0,0,44.2,444,5.6,121.8,TE
"Antonio Gates, LAC TE",0/0,0,0,0,0,0,0,43,490.5,5,121.5,TE
"Austin Seferian-Jenkins, Jax TE",0/0,0,0,0,0,0,0,45,519.6,2.9,114.2,TE
"O.J. Howard, TB TE",0/0,0,0,0,0,0,0,42.4,435.1,4.2,111.3,TE
"Tyler Higbee, LAR TE",0/0,0,0,0,0,0,0,43.5,426.6,3.3,105.8,TE
"Jermaine Gresham, Ari TE",0/0,0,0,0,0,0,0,41.4,422.7,2.9,99.9,TE
"David Njoku, Cle TE",0/0,0,0,0,0,0,0,39.7,421.8,2.6,97.1,TE
"Zach Miller*, Chi TE",0/0,0,0,0,0,0,0,39,409.2,2.8,96.8,TE
"Nick Boyle, Bal TE",0/0,0,0,0,0,0,0,42,374,1.9,90.6,TE
"Jesse James, Pit TE",0/0,0,0,0,0,0,0,31.2,324.9,2.7,80.5,TE
"Ryan Griffin, Hou TE",0/0,0,0,0,0,0,0,29.8,332.4,1.6,72.4,TE
"Vernon Davis, Wsh TE",0/0,0,0,0,0,0,0,23.1,318.2,2,66.5,TE
"Marcedes Lewis, Jax TE",0/0,0,0,0,0,0,0,25.2,280.5,2,65,TE
"A.J. Derby, Mia TE",0/0,0,0,0,0,0,0,26.4,273.7,1.9,64.8,TE
"George Kittle, SF TE",0/0,0,0,0,0,0,0,25.6,264.6,1.5,61.1,TE
"Vance McDonald, Pit TE",0/0,0,0,0,0,0,0,20.5,251.1,2.2,58.7,TE
"Benjamin Watson, NO TE",0/0,0,0,0,0,0,0,24.4,244,1.7,58.4,TE
"Seth DeValve, Cle TE",0/0,0,0,0,0,0,0,24.3,235.9,1.4,56.4,TE
"Josh Hill, NO TE",0/0,0,0,0,0,0,0,18.6,198.8,2.3,52.6,TE
"Dwayne Allen, NE TE",0/0,0,0,0,0,0,0,18.8,201.8,2.1,51.4,TE
"Gerald Everett, LAR TE",0/0,0,0,0,0,0,0,21.3,219.8,1.3,51.1,TE
"Trey Burton, Chi TE",0/0,0,0,0,0,0,0,19.6,195.7,1.2,46.3,TE
"Dion Sims, Chi TE",0/0,0,0,0,0,0,0,17.2,166,1.6,43.3,TE
"Ben Koyack, Jax TE",0/0,0,0,0,0,0,0,18.9,178.4,1,42.3,TE
"Maxx Williams, Bal TE",0/0,0,0,0,0,0,0,17,158.1,1,38.8,TE
"Virgil Green, LAC TE",0/0,0,0,0,0,0,0,15.6,163.4,1,37.9,TE
"Logan Paulsen, Atl TE",0/0,0,0,0,0,0,0,14.2,147.2,0.9,34.4,TE
"Adam Shaheen, Chi TE",0/0,0,0,0,0,0,0,13.2,131.5,1.1,32.8,TE
"Demetrius Harris, KC TE",0/0,0,0,0,0,0,0,13,125.3,1,31.3,TE
"Troy Niklas, NE TE",0/0,0,0,0,0,0,0,12.1,129.7,1,31.2,TE
"Brandon Williams, Ind TE",0/0,0,0,0,0,0,0,11.7,120.4,1.2,31,TE
"Rhett Ellison, NYG TE",0/0,0,0,0,0,0,0,12.3,121.8,0.9,29.8,TE
"Xavier Grimble, Pit TE",0/0,0,0,0,0,0,0,10.9,117,1,28.7,TE
"Garrett Celek, SF TE",0/0,0,0,0,0,0,0,10.7,121.1,0.7,26.8,TE
"Luke Willson, Det TE",0/0,0,0,0,0,0,0,9.8,118.4,0.9,26.7,TE
