Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Derek Anderson,BUF,1.0,231.05,1.31,0.83,9.07,0.09,0.13,0.09,QB
C.J. Beathard,SF,1.0,247.02,1.37,1.19,24.32,0.17,0.09,0.06,QB
Blake Bortles,JAX,1.0,253.75,1.68,0.89,24.23,0.15,0.05,0.09,QB
Tom Brady,NE,1.0,275.07,1.88,0.58,4.95,0.06,0.03,0.13,QB
Drew Brees,NO,1.0,288.65,1.75,0.82,6.11,0.07,0.03,0.03,QB
Teddy Bridgewater,NO,1.0,2.39,0.01,0.02,0.01,0.0,0.0,0.03,QB
Jacoby Brissett,IND,1.0,11.08,0.04,0.05,0.08,0.01,0.01,0.03,QB
Matt Cassel,DET,1.0,13.7,0.02,0.14,0.0,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,263.21,1.78,0.72,11.69,0.13,0.1,0.06,QB
Andy Dalton,CIN,1.0,275.03,1.73,0.78,5.49,0.08,0.05,0.0,QB
Chase Daniel,CHI,1.0,8.8,0.03,0.04,0.0,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,228.04,1.42,0.86,13.0,0.12,0.08,0.07,QB
Jeff Driskel,CIN,1.0,14.47,0.05,0.06,0.0,0.01,0.01,0.04,QB
David Fales,MIA,1.0,5.01,0.02,0.04,0.19,0.01,0.01,0.03,QB
Ryan Fitzpatrick,TB,1.0,16.21,0.07,0.15,0.03,0.01,0.0,0.02,QB
Joe Flacco,BAL,1.0,253.52,1.57,0.97,8.26,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,9.79,0.04,0.08,0.06,0.01,0.0,0.03,QB
Blaine Gabbert,TEN,1.0,12.76,0.05,0.1,0.0,0.0,0.0,0.03,QB
Mike Glennon,ARI,1.0,12.07,0.04,0.07,0.0,0.01,0.0,0.06,QB
Jared Goff,LA,1.0,273.19,1.84,0.74,10.99,0.11,0.08,0.04,QB
Taylor Heinicke,CAR,1.0,9.25,0.03,0.05,1.33,0.0,0.01,0.03,QB
Chad Henne,KC,1.0,9.67,0.03,0.05,0.23,0.01,0.0,0.02,QB
Taysom Hill,NO,1.0,13.93,0.04,0.09,1.46,0.02,0.02,0.03,QB
Brian Hoyer,NE,1.0,8.27,0.03,0.05,0.0,0.01,0.01,0.01,QB
Lamar Jackson,BAL,1.0,25.67,0.13,0.12,2.62,0.04,0.02,0.03,QB
Case Keenum,DEN,1.0,246.39,1.26,0.81,2.04,0.06,0.03,0.03,QB
Chad Kelly,,1.0,16.81,0.04,0.06,0.15,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,10.44,0.03,0.05,0.0,0.01,0.0,0.03,QB
Andrew Luck,IND,1.0,283.1,1.92,1.27,9.01,0.11,0.1,0.13,QB
Patrick Mahomes,KC,1.0,300.74,2.05,1.03,18.13,0.18,0.09,0.07,QB
Eli Manning,NYG,1.0,268.01,1.64,0.81,1.72,0.06,0.03,0.06,QB
Sean Mannion,LA,1.0,11.66,0.04,0.05,0.0,0.0,0.0,0.03,QB
Marcus Mariota,TEN,1.0,193.93,0.89,0.82,33.74,0.21,0.09,0.03,QB
Baker Mayfield,CLE,1.0,253.84,1.45,1.1,11.42,0.11,0.08,0.11,QB
Josh McCown,NYJ,1.0,10.23,0.06,0.06,0.0,0.01,0.01,0.02,QB
Colt McCoy,WAS,1.0,11.92,0.03,0.05,0.0,0.0,0.0,0.03,QB
Nick Mullens,SF,1.0,16.1,0.05,0.12,0.08,0.01,0.01,0.04,QB
Cam Newton,CAR,1.0,236.13,1.27,0.96,41.31,0.26,0.03,0.13,QB
Brock Osweiler,MIA,1.0,229.76,1.51,0.94,9.06,0.1,0.04,0.07,QB
Nathan Peterman,OAK,1.0,9.28,0.03,0.21,0.09,0.01,0.01,0.03,QB
Dak Prescott,DAL,1.0,196.43,0.99,0.68,28.93,0.23,0.02,0.07,QB
Philip Rivers,LAC,1.0,274.88,1.92,0.95,2.34,0.04,0.02,0.06,QB
Josh Rosen,ARI,1.0,211.46,1.12,0.94,10.05,0.12,0.07,0.08,QB
Cooper Rush,DAL,1.0,11.54,0.03,0.07,0.03,0.01,0.01,0.03,QB
Matt Ryan,ATL,1.0,307.62,2.03,0.8,10.05,0.08,0.05,0.09,QB
Matt Schaub,ATL,1.0,8.18,0.05,0.09,0.03,0.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,15.22,0.04,0.07,0.0,0.01,0.0,0.03,QB
Alex Smith,WAS,1.0,236.81,1.52,0.52,20.77,0.12,0.02,0.06,QB
Geno Smith,LAC,1.0,14.33,0.04,0.06,0.01,0.01,0.01,0.03,QB
Matthew Stafford,DET,1.0,282.05,1.81,0.78,3.78,0.06,0.03,0.03,QB
Alex Tanney,NYG,1.0,18.19,0.06,0.07,0.16,0.0,0.0,0.03,QB
Tyrod Taylor,CLE,1.0,18.1,0.1,0.06,0.11,0.01,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,243.58,1.63,0.83,23.12,0.14,0.1,0.07,QB
Deshaun Watson,HOU,1.0,241.27,1.55,1.01,28.37,0.19,0.11,0.15,QB
Joe Webb,HOU,1.0,3.33,0.02,0.03,0.06,0.01,0.01,0.0,QB
Brandon Weeden,HOU,1.0,10.88,0.04,0.07,0.0,0.0,0.0,0.06,QB
Carson Wentz,PHI,1.0,261.38,1.9,0.8,17.78,0.12,0.1,0.22,QB
Jameis Winston,TB,1.0,281.19,1.82,1.04,16.29,0.14,0.11,0.13,QB
