Player,Team,GP,Pass Yds,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,POS
Josh Hill,NO,1.0,0.0,6.12,0.0,17.62,203.09,1.11,0.0,0.0,TE
Jacob Hollister,NE,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,TE
Gabe Holmes,ARI,8.0,0.0,0.23,0.0,0.74,4.28,0.14,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.02,0.0,69.22,624.04,4.22,0.0,1.0,TE
O.J. Howard,TB,0.0,0.0,0.0,0.0,34.0,565.0,5.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,0.0,0.1,0.0,11.86,130.32,1.06,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.03,0.0,31.13,434.73,2.11,0.0,0.0,TE
Blake Jarwin,DAL,1.0,0.0,0.12,0.0,21.34,203.26,0.09,1.0,0.0,TE
Travis Kelce,KC,1.0,0.0,0.06,0.0,104.29,1354.28,10.55,1.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.03,0.0,20.26,181.14,1.08,0.0,0.0,TE
George Kittle,SF,1.0,0.0,10.38,0.0,85.11,1312.25,4.48,0.0,1.0,TE
Ben Koyack,JAX,1.0,0.0,0.03,0.0,0.18,1.06,0.02,0.0,0.0,TE
Tyler Kroft,CIN,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,0.0,0.09,0.0,21.5,245.39,1.16,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,0.0,0.13,0.0,14.42,122.71,1.08,0.0,0.0,TE
Matt Lengel,CIN,1.0,0.0,0.03,0.0,3.63,22.76,1.04,0.0,0.0,TE
Marcedes Lewis,GB,1.0,0.0,0.03,0.0,3.15,40.6,0.02,0.0,0.0,TE
Chris Manhertz,CAR,1.0,0.0,0.03,0.0,2.48,54.53,1.03,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.08,0.0,50.24,604.21,4.23,1.0,0.0,TE
David Morgan,MIN,1.0,0.0,0.06,0.0,5.12,38.35,0.0,0.0,0.0,TE
Johnny Mundt,LA,1.0,0.0,0.04,0.0,0.17,2.49,0.03,0.0,0.0,TE
David Njoku,CLE,1.0,0.0,0.06,0.0,55.9,605.38,4.24,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.03,0.0,8.56,90.82,1.04,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.05,0.0,22.95,206.75,0.13,0.0,0.0,TE
Greg Olsen,CAR,0.0,0.0,0.0,0.0,27.0,291.0,4.0,0.0,0.0,TE
Brian Parker,DEN,1.0,0.0,0.02,0.0,5.88,40.79,0.06,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.03,0.0,8.15,73.91,1.02,0.0,0.0,TE
Josh Perkins,PHI,0.0,0.0,0.0,0.0,5.0,67.0,0.0,0.0,0.0,TE
John Phillips,ARI,1.0,0.0,0.03,0.0,1.46,11.5,0.03,0.0,0.0,TE
MyCole Pruitt,TEN,1.0,0.0,0.08,0.0,8.24,88.82,1.1,0.0,0.0,TE
Jordan Reed,WAS,0.0,0.0,0.0,0.0,54.0,558.0,2.0,1.0,0.0,TE
Michael Roberts,DET,0.0,0.0,0.0,0.0,9.0,100.0,3.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.03,0.0,1.24,9.28,0.03,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.06,0.0,63.33,651.2,4.26,0.0,0.0,TE
Eric Saubert,ATL,1.0,0.0,0.01,0.0,5.26,49.78,0.03,0.0,0.0,TE
