Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,200+ Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum TD,POS
Jason Croom,BUF,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,259.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,TE
Alan Cross,TB,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
Sean Culkin,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jerome Cunningham,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,367.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,TE
Seth DeValve,CLE,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,9.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,12.0,143.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Will Dissly,SEA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,156.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,245.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Ross Dwelley,SF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,16.0,1.0,0.0,1.0,0.0,3.0,-8.0,1.0,66.0,750.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,272.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,TE
Evan Engram,NYG,11.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,45.0,577.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1163.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LAR,15.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,33.0,320.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,TE
Darren Fells,CLE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,117.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Anthony Firkser,TEN,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Matt Flanagan,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Franks,CIN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,333.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Rico Gathers,DAL,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Gesicki,MIA,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,334.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,TE
Jimmy Graham,GB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,636.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,210.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,682.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Clark Harris,CIN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,164.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,TE
Temarrick Hemingway,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Chris Herndon,NYJ,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,502.0,4.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,TE
Jeff Heuerman,DEN,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,281.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,TE
Ryan Hewitt,IND,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LAR,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,292.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Josh Hill,NO,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,185.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Gabe Holmes,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,660.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,565.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Hayden Hurst,BAL,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,163.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,423.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
Blake Jarwin,DAL,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,307.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,TE
Travis Kelce,KC,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1336.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TE
George Kittle,SF,16.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,88.0,1377.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,250.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Lengel,CIN,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Chris Manhertz,CAR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,610.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Johnny Mundt,LAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,639.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,TE
Greg Olsen,CAR,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,291.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Brian Parker,DEN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
John Phillips,ARI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MyCole Pruitt,TEN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,558.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Michael Roberts,DET,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,634.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
Eric Saubert,ATL,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,TE
Dalton Schultz,DAL,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TE
Ricky Seals-Jones,ARI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,TE
Austin Seferian-Jenkins,JAX,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Scott Simonson,NYG,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,79.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,258.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Durham Smythe,MIA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jeremy Sprinkle,WAS,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Neal Sterling,NYJ,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,165.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,242.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Erik Swoope,IND,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyrone Swoopes,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,333.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,215.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,8.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,TE
Levine Toilolo,DET,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,263.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,439.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hakeem Valles,NYG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,9.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,16.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,87.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
