Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,200+ Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum TD,POS
Jordan Akins,HOU,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Mo Alie-Cox,IND,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Mark Andrews,BAL,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,552.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Dan Arnold,NO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antony Auclair,TB,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,TE
Blake Bell,JAX,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,67.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,289.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,TE
Ben Braunecker,CHI,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,TE
Trey Burton,CHI,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,54.0,569.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Jake Butt,DEN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,TE
Garrett Celek,SF,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,90.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,TE
Orson Charles,CLE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
Charles Clay,BUF,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Conklin,MIN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,896.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
