Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Eric Ebron,IND,North Carolina,5,2014,1,10,0,0,0,0,0,0,0,44,557,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7,0,TE
Ricky Seals-Jones,ARI,Texas A&M,2,2017,0,0,0,0,0,0,0,0,0,38,578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.8,0,TE
Benjamin Watson,NOR,Georgia,15,2004,1,32,0,0,0,0,0,0,0,47,491,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.1,0,TE
Ed Dickson,SEA,Oregon,9,2010,3,6,0,0,0,0,0,0,0,39,486,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.6,0,TE
Seth DeValve,CLE,Princeton,3,2016,4,40,0,0,0,0,0,0,0,41,461,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.1,0,TE
Ryan Griffin,HOU,Connecticut,6,2013,6,33,0,0,0,0,0,0,0,42,471,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.1,0,TE
Antonio Gates,LAC,Kent State,16,0,0,0,0,0,0,0,0,0,0,34,303,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3,0,TE
Vernon Davis,WAS,Maryland,13,2006,1,6,0,0,0,0,0,0,0,36,522,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.2,0,TE
Jordan Leggett,NYJ,Clemson,2,2017,5,6,0,0,0,0,0,0,0,37,447,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.7,0,TE
Jeff Heuerman,DEN,Ohio State,4,2015,3,28,0,0,0,0,0,0,0,42,511,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.1,0,TE
