Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
Player Note T. Kelce KC - TE Final (W) 35-3 vs Oak,12,30,34,0.0,0.0,0.0,0.0,0.0,0.0,1336,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,1336,0.0,0.0,0.0,10.0,0.0,0.0,0.0,68.0,0.0,150.0,103.0,0.0,0.0,1336,0.0,0.0,0.0,10.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,1336,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,TE
Player Note Z. Ertz Phi - TE Final (W) 24-0 @ Was,9,37,38,0.0,0.0,0.0,0.0,0.0,0.0,1163,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,1163,0.0,0.0,0.0,8.0,0.0,0.0,0.0,66.0,0.0,156.0,116.0,0.0,0.0,1163,0.0,0.0,0.0,8.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1163,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,TE
No new player Notes G. Kittle SF - TE Final (L) 48-32 @ LAR,11,52,44,0.0,1.0,0.0,0.0,0.0,10.0,1377,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,1.0,0.0,10.0,1377,0.0,0.0,0.0,5.0,0.0,0.0,1.0,60.0,0.0,136.0,88.0,0.0,10.0,1377,0.0,0.0,0.0,5.0,0.0,0.0,1.0,60.0,6.0,0.0,10.0,1377,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,TE
Player Note E. Ebron Ind - TE Final (W) 33-17 @ Ten,9,62,60,1.0,3.0,0.0,1.0,0.0,-8.0,750,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,1.0,3.0,0.0,-8.0,750,0.0,0.0,1.0,13.0,0.0,0.0,1.0,39.0,0.0,110.0,66.0,0.0,-8.0,750,0.0,0.0,1.0,13.0,0.0,0.0,1.0,39.0,1.0,0.0,-8.0,750,0.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0,TE
No new player Notes J. Cook Oak - TE Final (L) 35-3 @ KC,7,78,82,0.0,0.0,0.0,0.0,0.0,0.0,896,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,896,0.0,0.0,0.0,6.0,0.0,0.0,0.0,46.0,0.0,101.0,68.0,0.0,0.0,896,0.0,0.0,0.0,6.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,896,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,TE
No new player Notes A. Hooper Atl - TE Final (W) 34-32 @ TB,8,155,145,0.0,0.0,0.0,0.0,0.0,0.0,660,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,660,0.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,88.0,71.0,0.0,0.0,660,0.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,660,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,TE
No new player Notes K. Rudolph Min - TE Final (L) 24-10 vs Chi,10,166,174,0.0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,634,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,82.0,64.0,0.0,0.0,634,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,634,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TE
Player Note T. Burton Chi - TE Q Final (W) 24-10 @ Min,5,174,170,0.0,1.0,0.0,0.0,0.0,2.0,569,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,1.0,0.0,2.0,569,0.0,0.0,0.0,6.0,0.0,0.0,1.0,29.0,0.0,77.0,54.0,0.0,2.0,569,0.0,0.0,0.0,6.0,0.0,0.0,1.0,29.0,1.0,0.0,2.0,569,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,TE
No new player Notes D. Njoku Cle - TE Final (L) 26-24 @ Bal,11,190,188,0.0,0.0,0.0,0.0,0.0,0.0,639,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,639,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,89.0,56.0,0.0,0.0,639,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,639,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TE
No new player Notes V. McDonald Pit - TE Final (W) 16-13 vs Cin,7,211,209,0.0,0.0,0.0,0.0,0.0,0.0,610,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,610,0.0,0.0,0.0,4.0,0.0,0.0,0.0,33.0,0.0,73.0,50.0,0.0,0.0,610,0.0,0.0,0.0,4.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,610,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,TE
Player Note R. Gronkowski NE - TE Final (W) 38-3 vs NYJ,11,192,206,0.0,0.0,0.0,0.0,0.0,0.0,682,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,682,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,72.0,47.0,0.0,0.0,682,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,682,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,TE
No new player Notes O. Howard TB - TE IR Final (L) 34-32 vs Atl,5,236,234,0.0,0.0,0.0,0.0,0.0,0.0,565,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,565,0.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,0.0,48.0,34.0,0.0,0.0,565,0.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,565,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,TE
No new player Notes J. Graham GB - TE Final (L) 31-0 vs Det,7,226,228,0.0,0.0,0.0,0.0,0.0,0.0,636,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,636,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,90.0,55.0,0.0,0.0,636,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,636,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
No new player Notes E. Engram NYG - TE Final (L) 36-35 vs Dal,9,277,233,0.0,3.0,0.0,0.0,0.0,36.0,577,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,3.0,0.0,36.0,577,0.0,0.0,0.0,3.0,0.0,0.0,3.0,22.0,0.0,64.0,45.0,0.0,36.0,577,0.0,0.0,0.0,3.0,0.0,0.0,3.0,22.0,2.0,0.0,36.0,577,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,TE
Player Note C. Herndon NYJ - TE Final (L) 38-3 @ NE,11,255,279,0.0,0.0,0.0,0.0,0.0,0.0,502,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,502,21.0,0.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,56.0,39.0,0.0,0.0,502,21.0,0.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,502,21.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,TE
No new player Notes J. Reed Was - TE IR Final (L) 24-0 vs Phi,4,280,284,0.0,0.0,0.0,0.0,0.0,0.0,558,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,558,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,84.0,54.0,0.0,0.0,558,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,558,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,TE
No new player Notes M. Andrews Bal - TE Final (W) 26-24 vs Cle,10,309,293,0.0,0.0,0.0,0.0,0.0,0.0,552,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,552,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,50.0,34.0,0.0,0.0,552,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,552,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
No new player Notes C. Uzomah Cin - TE Final (L) 16-13 @ Pit,9,308,342,0.0,0.0,0.0,0.0,0.0,0.0,439,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,439,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,64.0,43.0,0.0,0.0,439,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,439,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TE
No new player Notes C. Brate TB - TE Q Final (L) 34-32 vs Atl,5,380,373,0.0,0.0,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,49.0,30.0,0.0,0.0,289,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,289,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,TE
"No new player Notes J. Samuels Pit - RB,TE Final (W) 16-13 vs Cin",7,383,374,0.0,56.0,0.0,0.0,0.0,256.0,199,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,56.0,0.0,256.0,199,0.0,0.0,0.0,3.0,0.0,0.0,13.0,10.0,0.0,29.0,26.0,0.0,256.0,199,0.0,0.0,0.0,3.0,0.0,0.0,13.0,10.0,0.0,0.0,256.0,199,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,TE
Player Note D. Goedert Phi - TE Final (W) 24-0 @ Was,9,405,402,0.0,0.0,0.0,0.0,0.0,0.0,334,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,334,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,44.0,33.0,0.0,0.0,334,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,334,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TE
No new player Notes J. James Pit - TE Final (W) 16-13 vs Cin,7,406,424,0.0,0.0,0.0,0.0,0.0,0.0,423,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,423,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,39.0,30.0,0.0,0.0,423,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,423,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TE
