Player,POS,Team,Receptions,Rec Yds,Rec TD
Rob Gronkowski,TE,NE,73.9,1094.7,9.3
Travis Kelce,TE,KC,82.5,996.1,6.8
Zach Ertz,TE,PHI,77.3,862.6,6.6
Greg Olsen,TE,CAR,62.7,771.2,5.1
Evan Engram,TE,NYG,66.1,746.9,5.2
Delanie Walker,TE,TEN,66.3,768.7,5.0
Jimmy Graham,TE,GB,61.6,648.7,6.7
Kyle Rudolph,TE,MIN,61.0,610.9,6.0
Jordan Reed,TE,WAS,62.1,644.2,4.8
Trey Burton,TE,CHI,57.7,634.7,4.6
Jack Doyle,TE,IND,65.1,627.7,4.8
George Kittle,TE,SF,48.5,571.6,4.2
David Njoku,TE,CLE,48.3,543.9,4.2
Jared Cook,TE,OAK,47.0,583.2,3.5
Cameron Brate,TE,TB,44.3,539.1,4.1
Charles Clay,TE,BUF,53.9,583.1,3.3
Eric Ebron,TE,IND,46.3,534.8,4.0
Tyler Eifert,TE,CIN,40.6,483.6,4.7
Ricky Seals-Jones,TE,ARI,37.6,500.1,4.0
O.J. Howard,TE,TB,38.2,491.2,3.9
Vance McDonald,TE,PIT,40.7,494.1,3.6
Austin Seferian-Jenkins,TE,JAX,47.4,496.2,3.6
Benjamin Watson,TE,NO,45.6,472.4,3.8
Austin Hooper,TE,ATL,44.1,478.0,3.4
Mike Gesicki,TE,MIA,42.2,401.5,3.0
Antonio Gates,TE,LAC,31.5,357.1,3.5
Vernon Davis,TE,WAS,32.7,419.0,2.6
Ryan Griffin,TE,HOU,33.8,381.0,2.4
Hayden Hurst,TE,BAL,35.0,344.2,2.4
Luke Willson,TE,DET,32.6,314.5,2.8
Jake Butt,TE,DEN,28.1,321.6,2.3
Nick Vannett,TE,SEA,29.1,287.4,2.5
Dallas Goedert,TE,PHI,27.5,284.1,2.5
Blake Jarwin,TE,DAL,26.3,292.9,2.2
Garrett Celek,TE,SF,23.7,277.8,2.4
Tyler Higbee,TE,LAR,26.9,294.7,2.1
Tyler Kroft,TE,CIN,26.5,269.3,2.5
Virgil Green,TE,LAC,24.7,275.0,2.0
Gerald Everett,TE,LAR,22.3,248.6,2.2
Jonnu Smith,TE,TEN,24.5,242.8,1.9
Jesse James,TE,PIT,27.1,247.6,1.8
Jermaine Gresham,TE,ARI,24.8,256.3,1.5
Jordan Akins,TE,HOU,22.4,230.9,1.7
Chris Herndon,TE,NYJ,22.2,227.9,1.6
Jeff Heuerman,TE,DEN,19.7,225.4,1.6
Marcedes Lewis,TE,GB,16.9,182.6,2.3
Ed Dickson,TE,SEA,15.4,182.7,1.6
Mark Andrews,TE,BAL,19.4,192.7,1.4
Will Dissly,TE,SEA,13.5,169.2,1.3
Demetrius Harris,TE,KC,15.7,165.0,1.3
Dwayne Allen,TE,NE,13.5,149.3,1.5
Nick Boyle,TE,BAL,18.5,167.8,1.0
Jordan Leggett,TE,NYJ,16.3,167.1,1.1
Josh Hill,TE,NO,15.7,163.8,1.4
Geoff Swaim,TE,DAL,13.0,137.3,1.3
Seth DeValve,TE,CLE,13.2,144.4,1.1
Adam Shaheen,TE,CHI,12.2,133.6,1.3
Rhett Ellison,TE,NYG,14.7,148.3,1.0
A.J. Derby,TE,MIA,11.6,142.2,1.0
Rico Gathers,TE,DAL,12.8,134.2,1.1
Lance Kendricks,TE,GB,12.6,130.3,1.1
David Morgan,TE,MIN,13.5,134.8,1.0
Ian Thomas,TE,CAR,9.7,129.0,0.9
Levine Toilolo,TE,DET,12.0,120.2,0.8
Logan Thomas,TE,BUF,10.6,116.4,0.7
Dion Sims,TE,CHI,9.6,103.0,0.7
James O'Shaughnessy,TE,JAX,8.0,94.4,0.8
Michael Roberts,TE,DET,9.5,98.0,0.6
Darren Fells,TE,CLE,9.3,100.3,0.7
Eric Tomlinson,TE,NYJ,7.8,88.6,0.7
Durham Smythe,TE,MIA,9.5,93.0,0.6
Richard Rodgers,TE,PHI,7.2,79.3,0.7
Jacob Hollister,TE,NE,8.2,85.6,0.7
Maxx Williams,TE,BAL,10.7,88.5,0.5
Eric Saubert,TE,ATL,6.4,64.9,0.6
Dalton Schultz,TE,DAL,8.3,82.5,0.5
Neal Sterling,TE,NYJ,6.4,79.1,0.3
Jordan Thomas,TE,HOU,5.4,56.1,0.6
Lee Smith,TE,OAK,6.7,59.9,0.3
Xavier Grimble,TE,PIT,5.6,50.7,0.5
Logan Paulsen,TE,ATL,5.4,53.1,0.4
MyCole Pruitt,TE,TEN,5.1,54.6,0.3
Daniel Brown,TE,CHI,5.1,53.4,0.3
Derek Carrier,TE,OAK,6.9,53.6,0.2
Jeremy Sprinkle,TE,WAS,4.4,45.5,0.4
C.J. Uzomah,TE,CIN,6.0,56.5,0.2
Dan Arnold,TE,NO,3.7,39.7,0.4
Antony Auclair,TE,TB,3.8,40.6,0.3
Ben Koyack,TE,JAX,4.0,34.5,0.4
Mason Schreck,TE,CIN,4.0,35.0,0.3
Luke Stocker,TE,TEN,4.1,32.0,0.4
Alan Cross,TE,TB,3.6,36.2,0.3
Ben Braunecker,TE,CHI,3.5,37.4,0.3
Orson Charles,TE,CLE,3.5,45.5,0.1
Sean Culkin,TE,LAC,3.0,36.0,0.2
Nick O'Leary,TE,MIA,3.0,35.0,0.2
Chris Manhertz,TE,CAR,3.7,32.4,0.2
Darrell Daniels,TE,ARI,3.1,29.1,0.2
Temarrick Hemingway,TE,DEN,2.0,15.0,0.1
Ryan Hewitt,TE,IND,2.0,14.0,0.1
