Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Tennessee Titans,DST,TEN,15.7,242,1.4,0.5,3.2,0.0,0.28
Baltimore Ravens,DST,BAL,15.2,269,1.1,1.1,3.3,0.0,0.3
Denver Broncos,DST,DEN,20.9,268,1.5,0.8,2.5,0.0,0.27
Arizona Cardinals,DST,ARI,19.8,299,1.2,0.7,2.8,0.0,0.25
Los Angeles Rams,DST,LAR,19.2,323,1.3,0.9,3.5,0.1,0.32
New York Jets,DST,NYJ,20.0,371,1.2,1.1,2.8,0.0,0.34
Carolina Panthers,DST,CAR,16.9,325,0.7,1.0,3.3,0.0,0.28
Dallas Cowboys,DST,DAL,23.2,348,1.1,1.2,3.6,0.0,0.31
New England Patriots,DST,NE,20.4,345,1.0,0.7,2.6,0.1,0.29
Los Angeles Chargers,DST,LAC,20.9,393,1.2,0.8,1.9,0.0,0.33
San Francisco 49ers,DST,SF,17.8,301,1.1,0.8,1.7,0.0,0.24
Buffalo Bills,DST,BUF,19.7,310,1.1,0.7,1.9,0.0,0.24
Cincinnati Bengals,DST,CIN,18.3,311,0.9,0.7,2.2,0.0,0.23
Philadelphia Eagles,DST,PHI,17.2,334,0.7,0.9,1.9,0.0,0.23
Kansas City Chiefs,DST,KC,22.5,431,0.9,1.1,1.4,0.1,0.34
Jacksonville Jaguars,DST,JAX,24.7,289,0.3,0.7,2.5,0.0,0.18
Green Bay Packers,DST,GB,26.0,371,0.9,0.8,2.6,0.0,0.23
Minnesota Vikings,DST,MIN,26.4,355,0.9,0.9,2.2,0.0,0.24
Miami Dolphins,DST,MIA,25.0,331,1.1,0.7,1.6,0.0,0.29
Cleveland Browns,DST,CLE,22.7,313,1.0,0.8,1.9,0.0,0.22
Houston Texans,DST,HOU,21.9,326,0.7,0.8,2.2,0.0,0.22
Detroit Lions,DST,DET,26.5,363,0.4,0.7,2.8,0.0,0.22
New Orleans Saints,DST,NO,24.2,401,0.5,0.9,2.0,0.0,0.25
Pittsburgh Steelers,DST,PIT,26.3,402,0.7,0.5,2.4,0.0,0.21
New York Giants,DST,NYG,26.4,342,0.9,0.6,1.6,0.0,0.19
Atlanta Falcons,DST,ATL,28.5,399,0.8,0.9,1.4,0.1,0.25
Indianapolis Colts,DST,IND,31.0,381,0.6,0.9,1.9,0.1,0.21
Washington Redskins,DST,WAS,30.3,385,0.7,1.0,1.3,0.0,0.26
Seattle Seahawks,DST,SEA,27.8,378,0.6,0.9,1.6,0.0,0.21
