Player,Team,Salary
Cincinnati Bengals,CIN,2700
Kansas City Chiefs,KC,2500
Arizona Cardinals,ARI,2900
Pittsburgh Steelers,PIT,2400
Miami Dolphins,MIA,2200
Minnesota Vikings,MIN,2300
Buffalo Bills,BUF,2300
Carolina Panthers,CAR,3300
Cleveland Browns,CLE,2500
Baltimore Ravens,BAL,2800
Los Angeles Chargers,LAC,3100
Detroit Lions,DET,2200
New Orleans Saints,NO,2400
New York Jets,NYJ,2600
Houston Texans,HOU,2900
New England Patriots,NE,2800
Tennessee Titans,TEN,4000
Dallas Cowboys,DAL,2300
Jacksonville Jaguars,JAX,2800
New York Giants,NYG,2100
Denver Broncos,DEN,3200
Philadelphia Eagles,PHI,2600
Seattle Seahawks,SEA,2100
Green Bay Packers,GB,2700
Oakland Raiders,OAK,2000
San Francisco 49ers,SF,3000
Los Angeles Rams,LAR,3800
Washington Redskins,WAS,2000
Indianapolis Colts,IND,2100
Atlanta Falcons,ATL,2000
