Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Tennessee Titans,DST,TEN,16.3,254.0,1.0,0.7,3.0,0.0,0.1,0.4
New England Patriots,DST,NE,19.5,379.0,1.0,0.6,3.2,0.1,0.1,0.2
Carolina Panthers,DST,CAR,18.5,343.0,1.1,0.7,3.4,0.0,0.1,0.2
Cincinnati Bengals,DST,CIN,20.8,338.0,1.0,0.6,2.9,0.0,0.1,0.2
Philadelphia Eagles,DST,PHI,22.3,353.0,1.0,0.6,2.8,0.1,0.1,0.2
Baltimore Ravens,DST,BAL,22.0,342.0,1.1,0.7,3.2,0.1,0.0,0.1
Houston Texans,DST,HOU,21.0,379.0,0.9,0.6,3.2,0.1,0.0,0.2
Los Angeles Rams,DST,LAR,21.5,359.0,1.0,0.5,2.9,0.1,0.0,0.4
Los Angeles Chargers,DST,LAC,23.3,412.0,0.9,0.5,2.7,0.0,0.0,0.2
Denver Broncos,DST,DEN,20.8,341.0,0.8,0.6,2.7,0.0,0.1,0.30000000000000004
Arizona Cardinals,DST,ARI,21.8,342.0,0.8,0.5,2.4,0.1,0.0,0.2
New Orleans Saints,DST,NO,22.8,376.0,0.8,0.5,2.6,0.0,0.0,0.2
New York Giants,DST,NYG,25.0,368.0,0.8,0.4,2.0,0.0,0.1,0.30000000000000004
Detroit Lions,DST,DET,25.0,376.0,0.8,0.5,2.1,0.0,0.1,0.2
San Francisco 49ers,DST,SF,18.8,325.0,0.8,0.5,2.4,0.0,0.0,0.1
Cleveland Browns,DST,CLE,22.5,375.0,0.7,0.5,2.3,0.0,0.0,0.2
Buffalo Bills,DST,BUF,22.3,356.0,0.8,0.4,2.2,0.0,0.0,0.2
Green Bay Packers,DST,GB,25.0,418.0,0.8,0.5,2.4,0.0,0.0,0.1
Minnesota Vikings,DST,MIN,25.8,405.0,0.7,0.4,2.2,0.1,0.0,0.30000000000000004
Dallas Cowboys,DST,DAL,24.5,369.0,0.8,0.6,2.8,0.0,0.0,0.0
New York Jets,DST,NYJ,21.8,339.0,0.9,0.5,2.4,0.0,0.0,0.1
Pittsburgh Steelers,DST,PIT,26.8,455.0,0.7,0.4,2.2,0.1,0.1,0.2
Miami Dolphins,DST,MIA,26.8,371.0,0.7,0.5,2.0,0.0,0.0,0.2
Jacksonville Jaguars,DST,JAX,25.5,369.0,0.8,0.4,2.3,0.1,0.0,0.2
Kansas City Chiefs,DST,KC,22.5,378.0,0.8,0.6,2.5,0.0,0.0,0.1
Seattle Seahawks,DST,SEA,29.0,433.0,0.7,0.5,2.2,0.1,0.1,0.1
Washington Redskins,DST,WAS,28.8,427.0,0.6,0.5,2.1,0.0,0.0,0.2
Atlanta Falcons,DST,ATL,30.3,432.0,0.6,0.5,1.9,0.0,0.0,0.1
Oakland Raiders,DST,OAK,28.3,428.0,0.6,0.5,2.1,0.1,0.0,0.1
Indianapolis Colts,DST,IND,30.0,398.0,0.6,0.4,1.9,0.0,0.0,0.1
Chicago Bears,DST,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampa Bay Buccaneers,DST,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
