Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Carolina Panthers,DST,CAR,8.0,0.7,0.6,3.1, ,0.2
Tennessee Titans,DST,TEN,7.8,0.8,0.5,2.9, ,0.2
Baltimore Ravens,DST,BAL,7.2,1.1,0.6,2.3, ,0.2
Los Angeles Rams,DST,LAR,7.1,0.8,0.5,2.9, ,0.2
New York Jets,DST,NYJ,6.8,1.0,0.6,1.9, ,0.2
Houston Texans,DST,HOU,6.8,0.4,0.5,2.8, ,0.1
Dallas Cowboys,DST,DAL,6.6,0.8,0.6,3.6, ,0.2
Denver Broncos,DST,DEN,6.4,0.9,0.4,2.4, ,0.2
Buffalo Bills,DST,BUF,6.2,0.9,0.6,1.8, ,0.2
Cincinnati Bengals,DST,CIN,6.2,0.8,0.4,2.7, ,0.1
Cleveland Browns,DST,CLE,6.1,0.9,0.6,2.7, ,0.2
Philadelphia Eagles,DST,PHI,5.8,0.7,0.5,2.8, ,0.2
Arizona Cardinals,DST,ARI,5.6,0.9,0.6,2.0, ,0.2
San Francisco 49ers,DST,SF,5.6,0.6,0.4,1.5, ,0.2
Miami Dolphins,DST,MIA,5.6,1.2,0.5,1.7, ,0.2
Los Angeles Chargers,DST,LAC,5.5,1.1,0.4,2.0, ,0.2
Kansas City Chiefs,DST,KC,5.4,0.9,0.5,2.2, ,0.2
Minnesota Vikings,DST,MIN,5.4,0.8,0.5,2.5, ,0.2
Green Bay Packers,DST,GB,5.3,0.9,0.4,2.3, ,0.2
Pittsburgh Steelers,DST,PIT,5.2,0.7,0.5,2.6, ,0.2
New England Patriots,DST,NE,5.1,0.9,0.4,2.1, ,0.2
New York Giants,DST,NYG,4.8,0.7,0.4,1.5, ,0.2
Jacksonville Jaguars,DST,JAX,4.8,0.6,0.5,2.2, ,0.2
Seattle Seahawks,DST,SEA,4.5,0.7,0.5,2.0, ,0.2
New Orleans Saints,DST,NO,4.5,0.5,0.5,2.4, ,0.1
Detroit Lions,DST,DET,4.4,0.5,0.4,2.3, ,0.2
Atlanta Falcons,DST,ATL,4.3,0.9,0.4,2.3, ,0.2
Washington Redskins,DST,WAS,4.3,0.6,0.5,1.9, ,0.2
Oakland Raiders,DST,OAK,3.9,0.7,0.5,1.4, ,0.2
Indianapolis Colts,DST,IND,3.7,0.8,0.5,2.0, ,0.2
Chicago Bears,DST,CHI,,,,, ,
Tampa Bay Buccaneers,DST,TB,,,,, ,
