Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Shaun Draughn, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Chase Reynolds, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Will Johnson, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Trent Richardson, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Doug Martin, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Lamar Miller, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Isaiah Pead*, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Polk, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LaMike James, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bernard Pierce, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Robert Turbin, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ronnie Hillman, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cyrus Gray, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Vick Ballard, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Alfred Morris, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daniel Herron, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bryce Brown, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daryl Richardson, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cory Harkey, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Joe Banyard, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Derrick Coleman, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonas Gray, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Lance Dunbar, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Travaris Cadet, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Brandon Bolden, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bobby Rainey Jr., Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Grimes, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jamize Olawale, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fozzy Whittaker, Car RB",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Montee Ball, FA RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Le'Veon Bell, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Giovani Bernard, Cin RB",Ind,W 24-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Knile Davis, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Eddie Lacy, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Christine Michael, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Andre Ellington, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Latavius Murray, Min RB",@Cle,W 33-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kenjon Barner, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Denard Robinson, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Mike Gillislee, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Thompson, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike James, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rex Burkhead, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tommy Bohanon, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Stepfan Taylor, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Theo Riddick, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Zac Stacy, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kyle Juszczyk, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Joseph Randle, FA RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Spencer Ware, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kerwynn Williams, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"C.J. Anderson, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Benny Cunningham, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kendall Gaskins, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Steven Miller, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Zach Line, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"George Winn, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Khiry Robinson, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Charles Sims, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dri Archer, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Carlos Hyde, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerick McKinnon, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Terrance West, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tre Mason, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Bishop Sankey, Min RB",@Cle,W 33-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jeremy Hill, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tyler Gaffney, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Storm Johnson, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Lache Seastrunk, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Andre Williams, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James White, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ka'Deem Carey, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Devonta Freeman, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Lorenzo Taliaferro, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marion Grice, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Isaiah Crowell, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Alfred Blue, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Damien Williams, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Juwan Thompson, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kapri Bibbs, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Branden Oliver, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Antonio Andrews, Ten RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Darrin Reaves, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Silas Redd, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ryan Hewitt, Cin RB",Ind,W 24-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Trey Watts, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Austin Johnson, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jay Prosch, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Orleans Darkwa, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Senorise Perry, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Glenn Winston, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fitzgerald Toussaint, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Charcandrick West, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Roosevelt Nix, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"David Johnson, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Marcus Murphy, Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Michael Burton, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jeremy Langford, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jalston Fowler, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Malcolm Johnson, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Joey Iosefa, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jay Ajayi, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"David Cobb, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ameer Abdullah, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Melvin Gordon, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Karlos Williams, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ty Montgomery, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Javorius Allen, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kenny Hilliard, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Josh Robinson, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Aaron Ripkowski, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Tyler Varga, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Duke Johnson Jr., Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"T.J. Yeldon, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Todd Gurley II, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Tevin Coleman, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Jones, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Davis, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cameron Artis-Payne, Car RB",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Michael Dyer, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Crockett, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Terrence Magee, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Thomas Rawls, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Gus Johnson, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Zach Zenner, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Malcolm Brown, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Terron Ward, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jarryd Hayne, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Brandon Wegher, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Alonzo Harris, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Corey Grant, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Nikita Whitlock, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Raheem Mostert, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rod Smith, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Trey Williams, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Akeem Hunt, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ezekiel Elliott, Dal RB",@Wsh,W 33-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Derrick Henry, Ten RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Kenyan Drake, Mia RB",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"C.J. Prosise, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tyler Ervin, Hou RB, WR",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kenneth Dixon, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Devontae Booker, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAndre Washington, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Paul Perkins, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jordan Howard, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Wendell Smallwood, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Williams, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Alex Collins, Bal RB",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Andy Janovich, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Danny Vitale, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Derek Watt, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kelvin Taylor, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darius Jackson, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dwayne Washington, Det RB",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daniel Lasco, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Keith Marshall, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Zac Brooks, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Josh Ferguson, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Terrell Watson, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Brandon Wilds, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jhurell Pressley, Atl RB",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Byron Marshall, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"George Atkinson III, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James Wilder Jr., Buf RB",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"D.J. Foster, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Dreamius Smith, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Devon Johnson, Car RB",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rob Kelley, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jalen Richard, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Troymaine Pope, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Glenn Gronkowski, NE RB",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Julian Howsare, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kenneth Farrow, LAC RB",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Paul Lasike, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Peyton Barber, TB RB",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Don Jackson, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"George Farmer, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mack Brown, Min RB",@Cle,W 33-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tarik Cohen, Chi RB",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Donnel Pumphrey, Phi RB",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"De'Angelo Henderson, Den RB",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,RB
