Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,47.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,443.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,360.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,180.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,351.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,17.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,373.0,0.0,0.0,1.0,0.0,1.0,DST
Cleveland Browns,CLE,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,396.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,36.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,61.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,281.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,66.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,337.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,48.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,341.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,448.0,0.0,0.0,0.0,1.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,57.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,146.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,303.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,83.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,DST
New York Giants,NYG,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,264.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,280.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,446.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,256.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,57.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,420.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,69.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,144.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,337.0,0.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,36.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,72.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,422.0,0.0,0.0,0.0,1.0,0.0,DST
