NFL $3M Roman Fantasy Football Millionaire [$1M to 1st]	$20.00	$3,000,000	150	176,470	176,470	22%	253.72	$1,000,000	149.00	$30.00
NFL $1.2M Wildcat [$200K to 1st]	$333.00	$1,200,000	120	4,004	3,745	21%	230.14	$200,000	151.04	$500.00
NFL $1.2M Play-Action [$100K to 1st]	$3.00	$1,200,000	20	475,624	475,624	25%	255.62	$100,000	144.48	$5.00
NFL $850K Luxury Box [$200K to 1st]	$3,000.00	$850,000	9	300	300	20%	202.58	$200,000	153.48	$6,000.00
NFL $500K Power Sweep [3 Entry Max, $100K to 1st]	$150.00	$500,000	3	3,703	3,703	23%	238.40	$100,000	152.52	$225.00
NFL $400K Slant	$9.00	$400,000	150	52,287	52,287	20%	236.44	$40,000	152.94	$18.00
NFL $200K Spy [Single Entry, $30K to 1st]	$100.00	$200,000	1	2,222	2,222	20%	223.38	$30,000	154.24	$200.00
NFL $200K Three-Point Stance [5 Entry Max]	$33.00	$200,000	5	7,067	7,067	24%	241.68	$25,000	150.98	$50.00
NFL $200K Fair Catch [Single Entry]	$12.00	$200,000	1	19,607	19,607	24%	242.88	$20,000	147.42	$18.00
NFL $200K First Down	$1.00	$200,000	20	237,812	237,812	25%	253.72	$10,000	144.12	$2.00
NFL MASSIVE $25 Double Up	$25.00	$150,000	150	6,896	6,896	44%	219.98	$50	142.12	$50.00
NFL MASSIVE $25 Double Up [Single Entry]	$25.00	$150,000	1	6,896	6,896	44%	231.90	$50	135.58	$50.00
$10M Fantasy Football World Championship Double Qualifier #106-1	$500.00	$129,222	9	300	253	3%	202.58	$0	174.40	$500.00
NFL $102K Game Changer [Single Entry]	$1,500.00	$102,000	1	72	72	24%	192.50	$25,000	155.72	$2,500.00
NFL MASSIVE $100 Double Up [Single Entry]	$100.00	$100,000	1	1,111	1,111	45%	213.02	$200	135.58	$200.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	221.78	$10	138.50	$10.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	222.18	$10	137.28	$10.00
NFL MASSIVE $50 Double Up [Single Entry]	$50.00	$100,000	1	2,272	2,272	44%	225.90	$100	135.58	$100.00
NFL MASSIVE $250 Double Up [Single Entry]	$250.00	$100,000	1	444	444	45%	197.52	$500	135.58	$500.00
NFL $100K Checkdown Pass [3 Entry Max]	$777.00	$100,000	3	143	143	21%	202.58	$20,000	152.84	$1,500.00
NFL $100K Spy [Single Entry, $10K to 1st]	$100.00	$100,000	1	1,111	1,111	25%	219.08	$10,000	149.02	$150.00
NFL $100K Red Zone [Single Entry]	$50.00	$100,000	1	2,272	2,272	23%	230.14	$10,000	149.72	$75.00
NFL $100K Nickel [3 Entry Max]	$5.00	$100,000	3	23,781	23,781	27%	242.88	$10,000	145.08	$8.00
NFL $100K Thunderdome [Single Entry]	$5,300.00	$100,000	1	20	20	25%	171.08	$40,000	148.08	$10,000.00
NFL $100K Power Sweep [3 Entry Max]	$150.00	$100,000	3	740	740	23%	223.38	$15,000	151.78	$250.00
NFL $80K Juke [3 Entry Max]	$400.00	$80,000	3	222	222	22%	202.58	$15,000	150.72	$800.00
NFL $75K Super Booster [Top 75 Win $1,000]	$27.00	$75,000	97	3,239	3,239	2%	238.48	$1,000	182.58	$1,000.00
$10M Fantasy Football World Championship Qualifier #102	$5.00	$70,096	150	16,669	16,466	7%	231.48	$0	169.32	$5.00
$10M Fantasy Football World Championship Qualifier #103	$16.00	$68,991	150	5,072	4,588	6%	223.48	$0	170.22	$16.00
$10M Fantasy Football World Championship Qualifier #105	$150.00	$68,111	16	534	516	5%	230.14	$0	176.78	$150.00
