Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",@Ari,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Antonio Gates, LAC TE",KC,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Winslow, NYJ TE",Mia,W 20-6,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",Oak,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",Oak,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",Bal,W 44-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",@Buf,L 16-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",Sea,W 33-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",@Phi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",NO,L 13-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Scott Chandler*, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brent Celek, Phi TE",NYG,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clark Harris, Cin TE",@GB,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Fred Davis, Wsh TE",Oak,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Craig Stevens, Ten TE",Sea,W 33-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",@Ind,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jacob Tamme, Atl TE",@Det,W 30-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",Mia,W 20-6,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",Atl,L 26-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Johnson, Pit TE",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Casey, Den TE",@Buf,L 16-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Coffman, Ind TE",Cle,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jared Cook, Oak TE",@Wsh,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bear Pascoe, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Pettigrew, Det TE",Atl,L 26-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"John Phillips, NO TE",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Miller*, Chi TE",Pit,W 23-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Myers, TB TE",@Min,L 17-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jermaine Gresham, Ari TE",Dal,L 17-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Gronkowski, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dennis Pitta*, Bal TE",@Jax,L 7-44,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jimmy Graham, GB TE",Cin,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ed Dickson, Sea TE",@Ten,L 27-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tony Moeaki, Chi TE",Pit,W 23-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jim Dray, Ari TE",Dal,L 17-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Graham, Den TE",@Buf,L 16-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clay Harbor, NO TE",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Michael Hoomanawanui, NO TE",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony McCoy, Sea TE",@Ten,L 27-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Andrew Quarless, Det TE",Atl,L 26-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Richie Brockel, Car TE",NO,L 13-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jeff Cumberland, LAC TE",KC,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Logan Paulsen, Atl TE",@Det,W 30-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lance Kendricks, GB TE",Cin,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Housler, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kyle Rudolph, Min TE",TB,W 34-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bruce Miller, SF TE",LAR,L 39-41,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Virgil Green, LAC TE",KC,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Luke Stocker, Ten TE",Sea,W 33-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Ausberry, Det TE",Atl,L 26-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Charles Clay, Buf TE",Den,W 26-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Niles Paul, Jax TE",Bal,W 44-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"D.J. Williams, Wsh TE",Oak,W 27-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Cameron, Mia TE",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Julius Thomas, Mia TE",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lee Smith, Oak TE",@Wsh,L 10-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Coby Fleener, NO TE",@Car,W 34-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dwayne Allen, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Orson Charles, KC TE",@LAC,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ladarius Green, Pit TE",@Chi,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Hanna, Dal TE",@Ari,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rhett Ellison, NYG TE",@Phi,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Scruggs, NE TE",Hou,W 36-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Celek, SF TE",LAR,L 39-41,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Phillip Supernaw, Ten TE",Sea,W 33-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Beau Brinkley, Ten TE",Sea,W 33-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dominique Jones, Mia TE",@NYJ,L 6-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
