Player,Team,Bye,Rec,Yard,TD,FPts
Rob Gronkowski,NE,9,74,1078,9,161.8
Travis Kelce,KC,10,84,1075,6,143.5
Greg Olsen,CAR,11,81,1045,5,134.5
Jimmy Graham,SEA,6,67,875,7,129.5
Jordan Reed,WAS,5,79,835,7,125.5
Tyler Eifert,CIN,6,56,705,7,112.5
Martellus Bennett,GB,8,58,685,7,110.5
Hunter Henry,LAC,9,54,685,7,110.5
Zach Ertz,PHI,10,73,785,5,108.5
Kyle Rudolph,MIN,9,75,766,5,106.6
Delanie Walker,TEN,8,63,755,5,105.5
Coby Fleener,NO,5,54,655,5,95.5
Jason Witten,DAL,6,71,685,4,92.5
Eric Ebron,DET,7,59,684,4,92.4
Jack Doyle,IND,11,58,613,5,91.3
Austin Hooper,ATL,5,47,546,5,84.6
Charles Clay,BUF,6,52,545,5,84.5
Julius Thomas,MIA,1,46,525,5,82.5
David Njoku,CLE,9,55,570,4,81.0
Evan Engram,NYG,8,52,565,4,80.5
Antonio Gates,LAC,9,48,485,5,78.5
Cameron Brate,TB,1,47,545,4,78.5
Erik Swoope,IND,11,39,456,5,75.6
C.J. Fiedorowicz,HOU,7,48,512,4,75.2
Jared Cook,OAK,10,44,505,4,74.5
Jermaine Gresham,ARI,8,42,466,4,70.6
Dwayne Allen,NE,9,30,352,5,65.2
Zach Miller,CHI,9,42,440,3,62.0
O.J. Howard,TB,1,29,346,3,52.6
Vernon Davis,WAS,5,28,333,3,51.3
Austin Seferian-Jenkins,NYJ,11,33,385,2,50.5
Trey Burton,PHI,10,30,314,3,49.4
Tyler Higbee,LAR,8,35,365,2,48.5
Virgil Green,DEN,5,31,345,2,46.5
Gerald Everett,LAR,8,28,333,2,45.3
Ben Koyack,JAC,8,27,316,2,43.6
Ben Watson,BAL,10,30,315,2,43.5
Jesse James,PIT,9,31,299,2,41.9
Garrett Celek,SF,11,28,288,2,40.8
Vance McDonald,PIT,9,25,256,2,37.6
George Kittle,SF,11,21,236,2,35.6
Jonnu Smith,TEN,8,20,233,2,35.3
Jordan Leggett,NYJ,11,21,215,2,33.5
Xavier Grimble,PIT,9,19,200,2,32.0
Seth Devalve,CLE,9,20,200,2,32.0
Ryan Griffin,HOU,7,25,256,1,31.6
Marcedes Lewis,JAC,8,25,246,1,30.6
Stephen Anderson,HOU,7,22,223,1,28.3
Maxx Williams,BAL,10,21,219,1,27.9
Josh Hill,NO,5,21,216,1,27.6
Richard Rodgers,GB,8,19,192,1,25.2
Levine Toilolo,ATL,5,18,188,1,24.8
Michael Roberts,DET,7,17,185,1,24.5
Clive Walford,OAK,10,17,185,1,24.5
Nick Vannett,SEA,6,16,182,1,24.2
Dion Sims,CHI,9,18,175,1,23.5
Nick O'Leary,BUF,6,14,165,1,22.5
Troy Niklas,ARI,8,15,152,1,21.2
Rhett Ellison,NYG,8,12,142,1,20.2
Ross Travis,KC,10,12,140,1,20.0
MarQueis Gray,MIA,1,13,136,1,19.6
Adam Shaheen,CHI,9,12,134,1,19.4
Will Tye,NYJ,11,18,185,0,18.5
Jeff Heuerman,DEN,5,12,119,1,17.9
Ed Dickson,CAR,11,9,115,1,17.5
A.J. Derby,DEN,5,14,155,0,15.5
Lance Kendricks,GB,8,7,77,1,13.7
Tyler Kroft,CIN,6,12,135,0,13.5
Luke Willson,SEA,6,11,114,0,11.4
Brent Celek,PHI,10,10,111,0,11.1
C.J. Uzomah,CIN,6,7,77,0,7.7
Bucky Hodges,MIN,9,6,72,0,7.2
James Hanna,DAL,6,6,64,0,6.4
Eric Saubert,ATL,5,3,36,0,3.6
