Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Le'Veon Bell, PIT",0.0,0.0,0.0,0.0,0.0,0.0,17.3,88.8,5.13,0.6,8,6.7,56.8,8.48,0.1,0.1,17,RB
"David Johnson, ARI",0.0,0.0,0.0,0.0,0.0,0.0,19.1,79.3,4.15,0.8,6.5,4.6,45.4,9.87,0.2,0.1,16,RB
"Ezekiel Elliott, DAL",0.0,0.0,0.0,0.0,0.0,0.0,19.6,103.0,5.26,0.6,2.7,2.4,29.2,12.17,0.1,0.2,15,RB
"Lamar Miller, HOU",0.0,0.0,0.0,0.0,0.0,0.0,19.6,93.6,4.78,0.6,3.2,2.4,15.5,6.46,0.1,0.1,14,RB
"DeMarco Murray, TEN",0.0,0.0,0.0,0.0,0.0,0.0,17.8,77.8,4.37,0.6,4.1,3.5,22.9,6.54,0.2,0.2,13,RB
"LeSean McCoy, BUF",0.0,0.0,0.0,0.0,0.0,0.0,16.8,75.0,4.46,0.7,3.6,2.9,15.1,5.21,0.1,0.1,12,RB
"Thomas Rawls, CIN",0.0,0.0,0.0,0.0,0.0,0.0,16.1,70.1,4.35,0.5,3.2,2.9,23.8,8.21,0.1,0.1,12,RB
"Melvin Gordon, LAC",0.0,0.0,0.0,0.0,0.0,0.0,19.3,71.4,3.70,0.5,4.4,3.2,27.4,8.56,0.1,0.2,12,RB
"Jay Ajayi, PHI",0.0,0.0,0.0,0.0,0.0,0.0,15.7,82.1,5.23,0.6,1.8,1.5,8.5,5.67,0.1,0.1,12,RB
"Jordan Howard, CHI",0.0,0.0,0.0,0.0,0.0,0.0,16.3,70.1,4.30,0.3,3.7,2.1,21.5,10.24,0.2,0.1,11,RB
"Todd Gurley, LAR",0.0,0.0,0.0,0.0,0.0,0.0,18.6,74.0,3.98,0.5,3.6,2.8,22.7,8.11,0.0,0.2,11,RB
"Rob Kelley, WAS",0.0,0.0,0.0,0.0,0.0,0.0,16.7,83.4,4.99,0.5,2.5,0.9,5.5,6.11,0.1,0.1,11,RB
"Wendell Smallwood, PHI",0.0,0.0,0.0,0.0,0.0,0.0,13.6,61.9,4.55,0.5,2.9,1.6,11.2,7.00,0.1,0.2,10,RB
"Matt Forte, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,14.8,61.8,4.18,0.4,2.9,2.0,15.4,7.70,0.1,0.1,9,RB
"Devonta Freeman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,12.6,50.5,4.01,0.3,4,3.0,22.2,7.40,0.2,0.1,9,RB
"Chris Ivory, BUF",0.0,0.0,0.0,0.0,0.0,0.0,15.7,60.3,3.84,0.4,2.9,2.1,15.6,7.43,0.1,0.2,9,RB
"Mark Ingram, NO",0.0,0.0,0.0,0.0,0.0,0.0,13.1,54.3,4.15,0.3,3.8,3.3,21.4,6.48,0.2,0.2,9,RB
"Spencer Ware, KC",0.0,0.0,0.0,0.0,0.0,0.0,16.1,67.5,4.19,0.3,2.7,2.0,24.4,12.20,0.1,0.5,9,RB
"Devontae Booker, DEN",0.0,0.0,0.0,0.0,0.0,0.0,14.6,61.4,4.21,0.4,3.2,2.2,14.5,6.59,0.1,0.3,9,RB
"Jonathan Stewart, NYG",0.0,0.0,0.0,0.0,0.0,0.0,15.2,63.8,4.20,0.5,1.8,1.1,8.1,7.36,0.1,0.2,9,RB
"Carlos Hyde, JAC",0.0,0.0,0.0,0.0,0.0,0.0,15.3,64.6,4.22,0.4,2.4,2.1,11.0,5.24,0.0,0.1,9,RB
"Latavius Murray, MIN",0.0,0.0,0.0,0.0,0.0,0.0,12.7,48.0,3.78,0.6,3.5,2.9,18.2,6.28,0.1,0.1,9,RB
"Tevin Coleman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,8.4,31.2,3.71,0.4,3.1,2.2,34.6,15.73,0.1,0.1,8,RB
"Frank Gore, MIA",0.0,0.0,0.0,0.0,0.0,0.0,13.7,51.1,3.73,0.3,3.3,2.3,16.5,7.17,0.2,0.1,8,RB
"LeGarrette Blount, DET",0.0,0.0,0.0,0.0,0.0,0.0,14.7,46.6,3.17,0.7,1.2,1.1,8.0,7.27,0.1,0.1,8,RB
"Doug Martin, OAK",0.0,0.0,0.0,0.0,0.0,0.0,15.6,51.3,3.29,0.3,2.5,1.9,14.4,7.58,0.0,0.1,7,RB
"Darren Sproles, PHI",0.0,0.0,0.0,0.0,0.0,0.0,7.6,38.3,5.04,0.3,4.8,3.2,29.9,9.34,0.1,0.1,7,RB
