Player,Team,Bye,Att,Yard,TD,Rec,Yard,TD,FPts
David Johnson,ARI,8,265,1165,13,69,725,4,291.0
Le'Veon Bell,PIT,9,284,1365,10,60,496,2,258.1
LeSean McCoy,BUF,6,227,1065,10,40,326,2,211.1
Devonta Freeman,ATL,5,232,1045,8,55,449,2,209.4
Jordan Howard,CHI,9,266,1225,7,41,306,2,207.1
Melvin Gordon,LAC,9,264,1055,8,49,378,2,203.3
Jay Ajayi,MIA,1,260,1195,8,36,246,1,198.1
DeMarco Murray,TEN,8,241,1062,7,44,315,2,191.7
Lamar Miller,HOU,7,260,1120,7,32,235,1,183.5
Todd Gurley,LAR,8,267,1066,7,35,286,1,183.2
Leonard Fournette,JAC,8,252,1085,7,27,183,1,174.8
Dalvin Cook,MIN,9,206,885,7,38,305,2,173.0
Ty Montgomery,GB,8,182,835,5,45,385,2,164.0
Ezekiel Elliott,DAL,6,194,932,7,24,224,1,163.6
Mark Ingram,NO,5,184,865,5,44,333,2,161.8
Carlos Hyde,SF,11,224,986,6,26,204,1,161.0
Kareem Hunt,KC,10,194,855,6,37,317,1,159.2
Bilal Powell,NYJ,11,173,815,4,54,416,2,159.1
Marshawn Lynch,OAK,10,193,831,8,28,215,1,158.6
Joe Mixon,CIN,6,194,835,6,28,217,1,147.2
Isaiah Crowell,CLE,9,194,855,6,28,245,0,146.0
Paul Perkins,NYG,8,203,872,5,29,225,1,145.7
Frank Gore,IND,11,201,805,5,29,221,2,144.6
C.J. Anderson,DEN,5,190,835,5,22,166,1,136.1
Christian McCaffrey,CAR,11,127,546,4,47,405,2,131.1
Jonathan Stewart,CAR,11,194,775,6,10,72,1,126.7
Tevin Coleman,ATL,5,106,477,5,41,366,2,126.3
Eddie Lacy,SEA,6,155,682,5,21,164,1,120.6
Doug Martin,TB,1,164,720,4,22,176,1,119.6
Ameer Abdullah,DET,7,145,625,3,32,266,2,119.1
Derrick Henry,TEN,8,153,675,5,18,145,1,118.0
Theo Riddick,DET,7,87,349,1,75,582,3,117.1
Rob Kelley,WAS,5,183,786,5,10,72,0,115.8
Mike Gillislee,NE,9,141,665,6,13,103,0,112.8
Terrance West,BAL,10,154,616,4,30,207,1,112.3
Rex Burkhead,NE,9,132,582,5,19,142,1,108.4
LeGarrette Blount,PHI,10,163,685,6,4,34,0,107.9
Adrian Peterson,NO,5,151,636,5,18,116,0,105.2
Matt Forte,NYJ,11,139,556,3,25,195,2,105.1
Duke Johnson,CLE,9,77,345,1,61,522,2,104.7
Darren Sproles,PHI,10,89,392,2,48,385,2,101.7
Danny Woodhead,BAL,10,77,316,2,52,385,2,94.1
James White,NE,9,58,244,1,62,452,3,93.6
Darren McFadden,DAL,6,103,476,5,16,136,0,91.2
Chris Thompson,WAS,5,57,287,2,50,365,2,89.2
Giovani Bernard,CIN,6,85,356,1,35,316,2,85.2
Shane Vereen,NYG,8,75,345,2,39,326,1,85.1
DeAndre Washington,OAK,10,95,485,3,22,166,0,83.1
Thomas Rawls,SEA,6,119,486,4,13,102,0,82.8
Jeremy Hill,CIN,6,119,452,4,9,60,0,75.2
Dion Lewis,NE,9,58,266,1,39,305,2,75.1
Matt Breida,SF,11,84,345,3,22,149,1,73.4
Charles Sims,TB,1,69,284,1,29,244,2,70.8
Samaje Perine,WAS,5,104,456,3,9,66,0,70.2
Jamaal Williams,GB,8,94,415,4,6,46,0,70.1
Jacquizz Rodgers,TB,1,103,455,2,17,121,0,69.6
Jalen Richard,OAK,10,67,316,1,33,245,1,68.1
D'Onta Foreman,HOU,7,91,355,4,13,72,0,66.7
Jamaal Charles,DEN,5,83,365,2,24,177,0,66.2
Marlon Mack,IND,11,85,355,2,17,116,1,65.1
Robert Turbin,IND,11,86,336,2,19,126,1,64.2
C.J. Prosise,SEA,6,39,184,1,37,326,1,63.0
Zach Zenner,DET,7,72,265,3,19,166,0,61.1
Latavius Murray,MIN,9,84,337,3,11,85,0,60.2
Wendell Smallwood,PHI,10,87,375,2,12,89,0,58.4
T.J. Yeldon,JAC,8,57,216,1,34,245,1,58.1
Charcandrick West,KC,10,93,345,2,17,116,0,58.1
Jerick McKinnon,MIN,9,67,266,1,25,192,1,57.8
Andre Ellington,ARI,8,46,185,1,29,215,1,52.0
Tarik Cohen,CHI,9,68,286,2,13,112,0,51.8
Alvin Kamara,NO,5,57,246,1,23,186,0,49.2
Devontae Booker,DEN,5,63,245,1,16,122,1,48.7
James Conner,PIT,9,68,286,2,11,76,0,48.2
Chris Ivory,JAC,8,62,240,2,17,106,0,46.6
Kerwynn Williams,ARI,8,53,229,2,14,115,0,46.4
Damien Williams,MIA,1,59,217,2,14,116,0,45.3
Kyle Juszczyk,SF,11,20,87,0,37,275,1,42.2
Branden Oliver,LAC,9,69,275,1,10,74,0,40.9
Elijah McGuire,NYJ,11,47,189,1,19,145,0,39.4
Lance Dunbar,LAR,8,31,137,1,14,116,1,37.3
Benny Cunningham,CHI,9,36,168,1,15,113,0,34.1
Alfred Blue,HOU,7,51,205,1,10,65,0,33.0
Javorius Allen,BAL,10,70,272,0,8,58,0,33.0
Alfred Morris,DAL,6,57,226,1,3,17,0,30.3
Donnel Pumphrey,PHI,10,54,216,0,11,85,0,30.1
Malcolm Brown,LAR,8,43,167,1,9,67,0,29.4
Chris Carson,SEA,6,41,176,1,7,46,0,28.2
Orleans Darkwa,NYG,8,47,186,1,5,35,0,28.1
Mike Tolbert,BUF,6,49,175,1,6,44,0,27.9
C.J. Spiller,KC,10,43,182,0,11,87,0,26.9
Brian Hill,ATL,5,40,166,1,3,22,0,24.8
Dwayne Washington,DET,7,31,115,1,6,37,0,21.2
John Kuhn,NO,5,8,26,2,12,63,0,20.9
Wayne Gallman,NYG,8,29,114,1,4,26,0,20.0
Kenyan Drake,MIA,1,24,113,0,10,65,0,17.8
Matt Jones,IND,11,33,145,0,3,24,0,16.9
Terron Ward,ATL,5,30,135,0,3,26,0,16.1
Fozzy Whittaker,CAR,11,19,82,0,10,76,0,15.8
Aaron Ripkowski,GB,8,29,120,0,4,29,0,14.9
Jamize Olawale,OAK,10,15,52,0,8,62,0,11.4
Aaron Jones,GB,8,22,88,0,2,13,0,10.1
Jalston Fowler,TEN,8,22,82,0,2,13,0,9.5
Cameron Artis-Payne,CAR,11,19,75,0,2,16,0,9.1
De'Angelo Henderson,DEN,5,16,66,0,1,11,0,7.7
Patrick DiMarco,BUF,6,1,6,0,9,65,0,7.1
Andy Janovich,DEN,5,5,22,0,5,36,0,5.8
Tyler Ervin,HOU,7,4,17,0,3,20,0,3.7
T.J. Logan,ARI,8,4,15,0,0,3,0,1.8
