Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",@Buf,W 23-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Frank Gore, Mia RB",Den,W 35-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren Sproles, Phi RB",@Sea,L 10-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Kuhn, NO RB",Car,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",NE,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",@Cin,W 23-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fred Jackson, Sea RB",Phi,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",LAR,L 16-32,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marshawn Lynch, Oak RB",NYG,W 24-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ahmad Bradshaw, Ind RB",@Jax,L 10-30,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Pierre Thomas, Wsh RB",@Dal,L 14-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",Wsh,W 38-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",@Oak,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Johnson, Ari RB",LAR,L 16-32,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Forte, NYJ RB",KC,W 38-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Charles, Den RB",@Mia,L 9-35,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",NE,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",@Chi,W 15-14,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Justin Forsett, Den RB",@Mia,L 9-35,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Tolbert, Buf RB",NE,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcel Reece, Sea RB",Phi,W 24-10,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Danny Woodhead, Bal RB",Det,W 44-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Donald Brown, NE RB",@Buf,W 23-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Arian Foster, Mia RB",Den,W 35-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rashad Jennings, NYG RB",@Oak,L 17-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jorvorskie Lane, TB RB",@GB,L 20-26,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LeSean McCoy, Buf RB",NE,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cedric Peerman, Cin RB",Pit,L 20-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcus Thigpen, Buf RB",NE,L 3-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darrel Young, Car RB",@NO,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Antone Smith, TB RB",@GB,L 20-26,--/--,--,--,--,--,--,--,--,--,--,--,RB
"C.J. Spiller, KC RB",@NYJ,L 31-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
