Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Andre Ellington, HOU",0.0,0.0,0.0,0.0,0.0,0.0,8.1,33.4,4.12,0.2,1.8,1.3,10.1,7.77,0.0,0.1,5,RB
"Wendell Smallwood, PHI",0.0,0.0,0.0,0.0,0.0,0.0,9.4,37.2,3.96,0.3,1,0.7,4.9,7.00,0.0,0.1,4,RB
"Kenyan Drake, MIA",0.0,0.0,0.0,0.0,0.0,0.0,7.3,33.7,4.62,0.3,0.9,0.8,6.6,8.25,0.0,0.1,4,RB
"Tevin Coleman, ATL",0.0,0.0,0.0,0.0,0.0,0.0,7.5,27.2,3.63,0.3,2.5,1.7,19.5,11.47,0.0,0.2,4,RB
"Devontae Booker, DEN",0.0,0.0,0.0,0.0,0.0,0.0,8.5,34.4,4.05,0.3,1.1,0.8,5.4,6.75,0.0,0.2,4,RB
"Josh Ferguson, HOU",0.0,0.0,0.0,0.0,0.0,0.0,4.7,17.5,3.72,0.3,3.1,2.5,17.6,7.04,0.1,0.1,4,RB
"Darren Sproles, PHI",0.0,0.0,0.0,0.0,0.0,0.0,4.8,16.9,3.52,0.1,4.5,3.2,29.9,9.34,0.1,0.1,4,RB
"Paul Perkins, NYG",0.0,0.0,0.0,0.0,0.0,0.0,6.2,23.9,3.85,0.1,2.2,1.7,19.4,11.41,0.1,0.1,4,RB
"Derrick Henry, TEN",0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.8,3.83,0.2,1.417,1.1,11.0,10.00,0.0,0.1,4,RB
"Peyton Barber, TB",0.0,0.0,0.0,0.0,0.0,0.0,7.5,29.5,3.93,0.1,2.3,1.4,11.4,8.14,0.0,0.1,3,RB
"Mike Gillislee, NO",0.0,0.0,0.0,0.0,0.0,0.0,5.6,22.6,4.04,0.1,1.2,1.0,6.3,6.30,0.2,0.3,3,RB
"Bilal Powell, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,5.7,21.4,3.75,0.1,2.4,1.7,13.3,7.82,0.0,0.2,3,RB
"Zach Zenner, DET",0.0,0.0,0.0,0.0,0.0,0.0,7.3,27.1,3.71,0.2,0.6,0.5,4.1,8.20,0.0,0.1,3,RB
"Alfred Morris, SF",0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.2,4.44,0.2,0.7,0.5,3.2,6.40,0.0,0.1,3,RB
"Lance Dunbar, LAR",0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,4.00,0.1,1.5,1.2,12.9,10.75,0.0,0.1,2,RB
"Shaun Draughn, NYG",0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.2,3.60,0.1,1.7,1.2,7.6,6.33,0.0,0.2,2,RB
"Ka'Deem Carey, CHI",0.0,0.0,0.0,0.0,0.0,0.0,4.1,16.2,3.95,0.1,1.1,1.0,6.6,6.60,0.1,0.1,2,RB
"Alfred Blue, HOU",0.0,0.0,0.0,0.0,0.0,0.0,2.6,10.1,3.88,0.1,0.8,0.7,4.5,6.43,0.0,0.1,1,RB
"Joique Bell, DET",0.0,0.0,0.0,0.0,0.0,0.0,2.6,11.1,4.27,0.1,1.2,0.8,9.0,11.25,0.0,0.1,1,RB
"Kyle Juszczyk, SF",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,1.50,0.0,2,1.6,13.6,8.50,0.1,0.1,1,RB
"Kenjon Barner, CAR",0.0,0.0,0.0,0.0,0.0,0.0,3.8,18.3,4.82,0.1,0.7,0.6,3.4,5.67,0.0,0.1,1,RB
"Jamize Olawale, DAL",0.0,0.0,0.0,0.0,0.0,0.0,1.4,7.3,5.21,0.2,0.8,0.7,7.2,10.29,0.0,0.0,1,RB
"Andy Janovich, DEN",0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.50,0.2,0.8346,0.6,5.7,9.50,0.0,0.0,1,RB
"Damien Williams, KC",0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.2,4.10,0.1,1.6,1.2,9.8,8.17,0.1,0.1,1,RB
"Taiwan Jones, BUF",0.0,0.0,0.0,0.0,0.0,0.0,2.1,9.0,4.29,0.1,1,0.9,8.4,9.33,0.1,0.2,0,RB
"Mike Tolbert, BUF",0.0,0.0,0.0,0.0,0.0,0.0,3.9,9.3,2.38,0.0,1.5,1.0,6.3,6.30,0.1,0.0,0,RB
"Ronnie Hillman, DAL",0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.8,3.90,0.1,0.3,0.2,1.0,5.00,0.0,0.0,0,RB
"Raheem Mostert, SF",0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,3.50,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"George Winn, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Malcolm Johnson, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,0.299,0.2,1.2,6.00,0.0,0.0,0,RB
"Brandon Brown-Dukes, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Kerwynn Williams, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"DuJuan Harris, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Troymaine Pope, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.3,3.29,0.0,0.2,0.1,0.9,9.00,0.0,0.0,0,RB
"Malcolm Brown, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,3.40,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"Stevan Ridley, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"D.J. Foster, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Andre Williams, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Keith Smith, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Russell Hansbrough, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Jordan Todman, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,4.67,0.0,0.2,0.1,0.8,8.00,0.0,0.0,0,RB
"Ty Montgomery, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.00,0.0,0.6,0.5,4.3,8.60,0.0,0.0,0,RB
"Jalston Fowler, TEN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.00,0.0,0.1859,0.1,1.4,14.00,0.0,0.0,0,RB
"Rex Burkhead, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,0.1365,0.1,0.7,7.00,0.0,0.0,0,RB
"C.J. Ham, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Mack Brown, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Zach Line, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.00,0.0,0.2,0.1,1.6,16.00,0.0,0.0,0,RB
"Daryl Richardson, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Glenn Gronkowski, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Jhurrell Pressley, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Tommy Bohanon, JAC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"George Atkinson, NYJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Rod Smith, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Byron Marshall, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Rob Kelley, WAS",0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4,2.80,0.0,0.1,0.1,0.4,4.00,0.0,0.0,0,RB
"Mike Davis, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,2.33,0.0,0.2,0.1,1.0,10.00,0.0,0.0,0,RB
"Jonathan Williams, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.2,3.14,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"Jalen Simmons, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Elijhaa Penny, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Javorius Allen, BAL",0.0,0.0,0.0,0.0,0.0,0.0,1.4,5.5,3.93,0.0,0.4,0.3,2.6,8.67,0.0,0.0,0,RB
"Brandon Wilds, ARI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Akeem Hunt, KC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Kenneth Farrow, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,3.00,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"Patrick DiMarco, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.3,0.2,1.9,9.50,0.0,0.0,0,RB
"Michael Burton, CHI",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.00,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"Aaron Green, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Derek Watt, LAC",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.00,0.0,0.1,0.1,0.6,6.00,0.0,0.0,0,RB
"Terron Ward, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,2.33,0.0,0.2,0.1,0.9,9.00,0.0,0.0,0,RB
"Marcel Reece, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Fitzgerald Toussaint, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.9,2.37,0.0,0.2,0.2,1.4,7.00,0.0,0.0,0,RB
"Danny Vitale, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Jay Prosch, HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,2.29,0.0,0.3,0.2,1.6,8.00,0.0,0.0,0,RB
"Cedric O'Neal, BUF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Juwan Thompson, DEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Aaron Ripkowski, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.00,0.0,0.1,0.1,0.8,8.00,0.0,0.0,0,RB
"Joe Kerridge, GB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"Darius Jackson, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.7,3.86,0.0,0.2,0.1,0.9,9.00,0.0,0.0,0,RB
"Bishop Sankey, MIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,0.0,0.0,0.00,0.0,0.0,0,RB
"James Develin, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3.00,0.0,0.3,0.2,1.6,8.00,0.0,0.0,0,RB
"Tyler Ervin, BAL",0.0,0.0,0.0,0.0,0.0,0.0,2.4,9.2,3.83,0.0,0.9,0.4,3.1,7.75,0.0,0.3,0,RB
