Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,96.9,1.0,4.2,41.5,0.2
Saquon Barkley,RB,NYG,76.5,0.5,6.2,52.1,0.4
Ezekiel Elliott,RB,DAL,97.6,0.7,3.9,31.8,0.1
Joe Mixon,RB,CIN,79.8,0.7,3.8,30.7,0.1
David Johnson,RB,ARI,68.1,0.7,3.3,28.5,0.1
Austin Ekeler,RB,LAC,63.4,0.5,3.6,33.8,0.2
Alvin Kamara,RB,NO,43.7,0.3,6.1,53.8,0.4
Christian McCaffrey,RB,CAR,53.6,0.2,5.9,47.9,0.3
T.J. Yeldon,RB,JAX,53.2,0.5,3.9,31.4,0.2
LeSean McCoy,RB,BUF,61.0,0.5,3.4,26.0,0.1
Sony Michel,RB,NE,71.8,0.6,1.3,9.4,0.0
Nick Chubb,RB,CLE,65.6,0.7,1.3,11.0,0.0
Tevin Coleman,RB,ATL,48.4,0.5,2.3,22.1,0.2
Adrian Peterson,RB,WAS,62.9,0.5,2.0,17.9,0.0
Phillip Lindsay,RB,DEN,53.9,0.4,2.7,21.8,0.1
Latavius Murray,RB,MIN,61.2,0.5,2.2,14.7,0.0
Corey Clement,RB,PHI,44.6,0.5,2.4,22.4,0.1
Mark Ingram,RB,NO,49.5,0.5,2.9,21.4,0.1
Tarik Cohen,RB,CHI,30.5,0.3,4.0,37.2,0.1
Marlon Mack,RB,IND,48.9,0.4,2.1,14.6,0.1
Jordan Howard,RB,CHI,57.3,0.3,1.8,15.0,0.0
James White,RB,NE,20.0,0.1,5.6,45.9,0.3
Lamar Miller,RB,HOU,54.0,0.2,2.2,16.2,0.1
Wendell Smallwood,RB,PHI,44.4,0.3,2.1,18.0,0.1
Duke Johnson,RB,CLE,28.3,0.2,3.9,39.7,0.1
Royce Freeman,RB,DEN,43.6,0.4,1.1,8.3,0.0
Peyton Barber,RB,TB,49.8,0.2,1.6,12.1,0.1
Dion Lewis,RB,TEN,42.0,0.1,3.3,24.3,0.1
Kenyan Drake,RB,MIA,37.9,0.2,3.1,24.5,0.1
Nyheim Hines,RB,IND,21.1,0.1,4.0,28.9,0.1
Derrick Henry,RB,TEN,47.7,0.2,0.9,7.1,0.0
Javorius Allen,RB,BAL,24.1,0.2,3.0,22.8,0.1
LeGarrette Blount,RB,DET,30.5,0.2,0.9,6.7,0.0
Chris Ivory,RB,BUF,27.9,0.1,1.2,11.8,0.0
Justin Jackson,RB,LAC,24.9,0.2,1.1,8.1,0.0
Alfred Blue,RB,HOU,26.1,0.1,1.4,10.6,0.0
Ronald Jones,RB,TB,23.0,0.1,1.3,10.2,0.0
Devontae Booker,RB,DEN,8.9,0.1,2.0,16.7,0.1
Wayne Gallman,RB,NYG,13.1,0.1,1.4,10.2,0.0
Kyle Juszczyk,RB,SF,1.6,0.0,2.3,21.5,0.1
Alfred Morris,RB,SF,17.9,0.1,0.6,4.5,0.0
Mark Walton,RB,CIN,13.3,0.1,1.1,9.2,0.0
Spencer Ware,RB,KC,13.8,0.1,0.9,7.2,0.0
C.J. Anderson,RB,LAR,14.8,0.0,0.6,4.7,0.0
Chase Edmonds,RB,ARI,10.3,0.1,0.9,6.1,0.0
Gus Edwards,RB,BAL,10.2,0.1,0.4,2.9,0.0
Roc Thomas,RB,MIN,10.7,0.0,0.7,5.1,0.0
Jordan Wilkins,RB,IND,11.1,0.1,0.5,3.4,0.0
Rod Smith,RB,DAL,11.3,0.1,0.3,2.3,0.0
Mike Boone,RB,MIN,9.5,0.0,0.7,4.8,0.0
Jacquizz Rodgers,RB,TB,7.1,0.0,0.6,4.4,0.0
C.J. Ham,RB,MIN,1.4,0.0,0.9,7.3,0.0
Anthony Sherman,RB,KC,0.5,0.0,0.5,5.6,0.1
Samaje Perine,RB,WAS,5.7,0.0,0.5,3.9,0.0
Josh Adams,RB,PHI,5.4,0.0,0.4,2.7,0.0
David Fluellen,RB,TEN,2.6,0.0,0.5,3.5,0.0
Kenjon Barner,RB,CAR,5.6,0.0,0.1,1.2,0.0
Derek Watt,RB,LAC,2.1,0.0,0.2,1.2,0.0
James Develin,RB,NE,0.0,0.0,0.7,4.6,0.0
David Williams,RB,JAX,3.7,0.0,0.2,1.5,0.0
Andy Janovich,RB,DEN,1.4,0.0,0.3,2.7,0.0
Benny Cunningham,RB,CHI,1.9,0.0,0.3,2.7,0.0
Elijhaa Penny,RB,NYG,2.2,0.0,0.2,1.8,0.0
Trenton Cannon,RB,NYJ,2.4,0.0,0.2,1.6,0.0
Damien Williams,RB,KC,1.6,0.0,0.3,2.0,0.0
Tommy Bohanon,RB,JAX,0.4,0.0,0.4,2.9,0.0
Dwayne Washington,RB,NO,2.4,0.0,0.2,0.9,0.0
Brandon Bolden,RB,MIA,1.5,0.0,0.2,1.1,0.0
Patrick DiMarco,RB,BUF,0.3,0.0,0.3,2.3,0.0
Derrick Coleman,RB,ARI,1.0,0.0,0.3,2.2,0.0
Dontrell Hilliard,RB,CLE,1.4,0.0,0.1,1.0,0.0
Zach Line,RB,NO,0.4,0.0,0.3,2.0,0.0
Ricky Ortiz,RB,ATL,1.3,0.0,0.1,1.1,0.0
Jamize Olawale,RB,DAL,0.7,0.0,0.1,1.2,0.0
Alex Armah,RB,CAR,1.6,0.0,0.1,0.3,0.0
Tyler Ervin,RB,BAL,0.4,0.0,0.2,1.2,0.0
Senorise Perry,RB,MIA,0.7,0.0,0.1,0.7,0.0
Brandon Wilson,RB,CIN,0.0,0.0,0.0,0.0,0.0
