Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Courtland Sutton,DEN,1.0,0.2,0.0,2.4,30.91,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,2.27,0.0,1.18,12.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Golden Tate,PHI,1.0,1.91,0.0,5.86,71.06,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taywan Taylor,TEN,1.0,1.05,0.01,3.7,37.67,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.11,0.0,2.05,23.86,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.23,0.0,6.71,82.36,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.12,0.0,5.61,63.81,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.06,0.0,8.29,101.68,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.49,0.0,2.02,30.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.03,0.0,0.14,2.68,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.03,0.0,1.97,24.26,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.25,0.0,0.64,8.59,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.39,0.0,2.21,27.5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,1.48,0.01,3.32,46.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.13,0.0,0.2,3.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,1.33,0.01,3.33,40.84,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kevin White,CHI,1.0,0.53,0.0,0.69,9.96,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim White,BAL,1.0,0.11,0.0,0.09,2.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,0.78,0.0,1.9,19.98,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,0.47,0.0,3.97,52.72,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nick Williams,FA,1.0,0.03,0.0,0.98,12.38,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.55,0.0,2.6,38.59,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Derrick Willies,CLE,1.0,0.14,0.0,0.31,5.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,2.25,0.03,2.02,19.88,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Javon Wims,CHI,1.0,0.22,0.0,0.34,5.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,2.02,0.0,5.28,74.63,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.11,0.0,0.1,3.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
